Unnamed: 0,CAR,NYG
First Downs,11,21
Rush-Yds-TDs,17-56-0,31-103-1
Cmp-Att-Yd-TD-INT,19-39-145-0-1,24-34-219-1-0
Sacked-Yards,6-28,2-20
Net Pass Yards,117,199
Total Yards,173,302
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,7-37,8-60
Third Down Conv.,2-15,7-16
Fourth Down Conv.,2-4,0-1
Time of Possession,25:25,34:35
