Quarter,Time,Tm,Detail,ATL,PHI
1.0,12:09,Eagles,DeSean Jackson 31 yard rush (David Akers kick),0,7
,6:50,Eagles,DeSean Jackson 34 yard pass from Kevin Kolb (David Akers kick),0,14
2.0,7:34,Eagles,Jeremy Maclin 8 yard pass from Kevin Kolb (David Akers kick),0,21
,0:14,Falcons,Tony Gonzalez 1 yard pass from Matt Ryan (Matt Bryant kick),7,21
3.0,6:59,Falcons,Matt Bryant 26 yard field goal,10,21
,6:11,Eagles,Jeremy Maclin 83 yard pass from Kevin Kolb (David Akers kick),10,28
4.0,5:40,Falcons,Tony Gonzalez 13 yard pass from Matt Ryan (Matt Bryant kick),17,28
,3:01,Eagles,David Akers 30 yard field goal,17,31
