Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Michael Turner right end for no gain (tackle by Ernie Sims),0.280,-0.270
1,14:27,2,10,ATL 20,0,0,Michael Turner left tackle for 2 yards (tackle by Stewart Bradley and Ernie Sims),-0.270,-0.690
1,13:49,3,8,ATL 22,0,0,"Penalty on Trevor Laws: Neutral Zone Infraction, 5 yards (no play)",-0.690,-0.030
1,13:36,3,3,ATL 27,0,0,Matt Ryan sacked by Stewart Bradley for -8 yards,-0.030,-2.140
1,13:09,4,11,ATL 19,0,0,Michael Koenen punts 34 yards,-2.140,-2.060
1,12:59,1,10,PHI 47,0,0,Kevin Kolb pass complete deep left to Jeremy Maclin for 22 yards (tackle by Curtis Lofton),2.060,3.510
1,12:18,1,10,ATL 31,0,6,"DeSean Jackson left end for 31 yards, touchdown",3.510,7.000
1,,,,ATL 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 74 yards, returned by Eric Weems for 29 yards (tackle by Joselio Hanson)",0.000,0.610
1,12:03,1,10,ATL 25,0,7,Michael Turner left end for 9 yards (tackle by Nate Allen),0.610,1.280
1,11:25,2,1,ATL 34,0,7,Michael Turner middle for 1 yard (tackle by Quintin Mikell and Stewart Bradley),1.280,1.270
1,10:47,1,10,ATL 35,0,7,Matt Ryan pass complete deep left to Michael Jenkins for 42 yards (tackle by Asante Samuel and Ellis Hobbs),1.270,4.040
1,10:09,1,10,PHI 23,0,7,Matt Ryan pass incomplete short right intended for Michael Jenkins,4.040,3.500
1,10:06,2,10,PHI 23,0,7,Jason Snelling right tackle for no gain (tackle by Trent Cole),3.500,2.810
1,9:28,3,10,PHI 23,0,7,Matt Ryan pass incomplete deep middle intended for Michael Jenkins (defended by Asante Samuel),2.810,1.930
1,9:23,4,10,PHI 23,0,7,Matt Bryant 41 yard field goal no good,1.930,-1.000
1,9:18,1,10,PHI 31,0,7,Kevin Kolb pass incomplete short left intended for Chad Hall,1.000,0.460
1,9:14,2,10,PHI 31,0,7,LeSean McCoy middle for 8 yards (tackle by Curtis Lofton),0.460,0.830
1,8:40,3,2,PHI 39,0,7,DeSean Jackson left end for 13 yards (tackle by Dunta Robinson),0.830,2.390
1,8:09,1,10,ATL 48,0,7,LeSean McCoy right end for 9 yards (tackle by Brent Grimes and Chris Owens),2.390,3.060
1,7:31,2,1,ATL 39,0,7,Chad Hall left tackle for 5 yards (tackle by Curtis Lofton),3.060,3.310
1,6:57,1,10,ATL 34,0,13,"Kevin Kolb pass complete deep middle to DeSean Jackson for 34 yards, touchdown",3.310,7.000
1,,,,ATL 2,0,14,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,14,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,6:50,1,10,ATL 20,0,14,Matt Ryan pass complete short right to Michael Palmer for 1 yard (tackle by Moise Fokou and Quintin Mikell),0.280,-0.130
1,6:12,2,9,ATL 21,0,14,Matt Ryan pass complete short right to Jason Snelling for 7 yards (tackle by Antonio Dixon),-0.130,0.100
1,5:29,3,2,ATL 28,0,14,Michael Turner middle for -3 yards (tackle by Trent Cole),0.100,-1.700
1,4:48,4,5,ATL 25,0,14,"Michael Koenen punts 35 yards, returned by Jorrick Calvin for 2 yards (tackle by Jason Snelling)",-1.700,-1.730
1,4:39,1,10,PHI 42,0,14,Kevin Kolb pass complete short right to Jason Avant for 9 yards (tackle by Brent Grimes),1.730,2.400
1,4:09,2,1,ATL 49,0,14,LeSean McCoy left end for 8 yards (tackle by Dunta Robinson),2.400,2.850
1,3:47,1,10,ATL 41,0,14,"Penalty on Mike McGlynn: False Start, 5 yards (no play)",2.850,2.520
1,3:42,1,15,ATL 46,0,14,LeSean McCoy middle for 3 yards (tackle by Curtis Lofton and Thomas DeCoud),2.520,2.040
1,3:08,2,12,ATL 43,0,14,Kevin Kolb pass incomplete short middle intended for Brent Celek,2.040,1.350
1,3:03,3,12,ATL 43,0,14,Kevin Kolb sacked by Peria Jerry for -6 yards,1.350,0.000
1,2:34,4,18,ATL 49,0,14,Saverio Rocca punts 37 yards,0.000,0.350
1,2:27,1,10,ATL 12,0,14,Michael Turner for 5 yards (tackle by Nate Allen),-0.350,-0.230
1,1:57,2,5,ATL 17,0,14,Matt Ryan pass incomplete short middle intended for Harry Douglas,-0.230,-0.840
1,1:53,3,5,ATL 17,0,14,Matt Ryan left end for 3 yards (tackle by Darryl Tapp),-0.840,-2.030
1,1:11,4,2,ATL 20,0,14,"Michael Koenen punts 37 yards, returned by DeSean Jackson for 4 yards (tackle by Coy Wire)",-2.030,-2.060
1,1:02,1,10,PHI 47,0,14,Kevin Kolb pass complete deep left to Jeremy Maclin for 17 yards (tackle by Curtis Lofton),2.060,3.180
1,0:28,1,10,ATL 36,0,14,Kevin Kolb pass complete short right to Owen Schmitt for -1 yards (tackle by Mike Peterson),3.180,2.500
Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,ATL 37,0,14,Kevin Kolb pass complete short right to Brent Celek for 5 yards (tackle by Corey Peters),2.500,2.480
2,14:21,3,6,ATL 32,0,14,"Kevin Kolb pass incomplete short left intended for DeSean Jackson. Penalty on Dunta Robinson: Personal Foul, 15 yards (no play)",2.480,4.440
2,14:13,1,10,ATL 17,0,14,LeSean McCoy middle for 4 yards (tackle by Stephen Nicholas),4.440,4.500
2,13:42,2,6,ATL 13,0,14,LeSean McCoy right end for -4 yards (tackle by Brent Grimes),4.500,3.070
2,12:59,3,10,ATL 17,0,14,"Kevin Kolb pass incomplete short middle intended for LeSean McCoy. Penalty on King Dunlap: Face Mask (15 Yards), 15 yards (no play)",3.070,1.220
2,12:54,3,25,ATL 32,0,14,Kevin Kolb pass complete short right to LeSean McCoy for 13 yards (tackle by Brent Grimes),1.220,2.180
2,12:27,4,12,ATL 19,0,14,David Akers 37 yard field goal no good,2.180,-0.740
