Unnamed: 0,ATL,PHI
First Downs,20,23
Rush-Yds-TDs,19-65-0,38-154-1
Cmp-Att-Yd-TD-INT,23-42-250-2-1,23-29-326-3-1
Sacked-Yards,3-22,1-6
Net Pass Yards,228,320
Total Yards,293,474
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,2-30,9-78
Third Down Conv.,4-14,7-14
Fourth Down Conv.,1-1,1-1
Time of Possession,25:57,34:03
