Quarter,Time,Tm,Detail,JAX,HOU
1.0,7:35,Jaguars,Josh Scobee 52 yard field goal,3,0
,1:58,Texans,Jacoby Jones 18 yard pass from Matt Schaub (Kris Brown kick),3,7
2.0,11:18,Jaguars,David Garrard 2 yard rush (Josh Scobee kick),10,7
,5:33,Texans,Kevin Walter 9 yard pass from Matt Schaub (Kris Brown kick),10,14
,3:47,Jaguars,Maurice Jones-Drew 61 yard rush (Josh Scobee kick),17,14
,0:19,Texans,Owen Daniels 2 yard pass from Matt Schaub (Kris Brown kick),17,21
3.0,10:10,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),24,21
,4:02,Texans,Kris Brown 27 yard field goal,24,24
4.0,14:15,Jaguars,Maurice Jones-Drew 8 yard rush (Josh Scobee kick),31,24
