Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Greg Zuerlein kicks off 62 yards, returned by Godwin Igwebuike for 24 yards (tackle by Tony Adams and Hamsah Nasirildeen)",0.000,0.740
1,14:54,1,10,SEA 27,0,0,Kenneth Walker right guard for 60 yards (tackle by Lamarcus Joyner),0.740,4.710
1,14:03,1,10,NYJ 13,0,0,Kenneth Walker right guard for 1 yard (tackle by Quincy Williams and John Franklin-Myers),4.710,4.220
1,13:32,2,9,NYJ 12,0,6,"Geno Smith pass complete to Colby Parkinson for 12 yards, touchdown",4.220,7.000
1,13:25,,,NYJ 15,0,7,Jason Myers kicks extra point good,0.000,0.000
1,13:25,,,SEA 35,0,7,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,13:25,1,10,NYJ 25,0,7,Mike White pass incomplete short right intended for Corey Davis,0.610,0.060
1,13:20,2,10,NYJ 25,0,7,Mike White pass complete deep right to Tyler Conklin for 17 yards (tackle by Johnathan Abram),0.060,1.730
1,12:43,1,10,NYJ 42,0,7,Ty Johnson left tackle for 22 yards (tackle by Cody Barton),1.730,3.180
1,12:10,1,10,SEA 36,0,7,Ty Johnson right tackle for 3 yards (tackle by Myles Adams),3.180,2.970
1,11:29,2,8,SEA 33,0,7,Mike White pass incomplete short right intended for C.J. Uzomah,2.970,2.280
1,11:23,3,8,SEA 33,0,7,Mike White pass deep left intended for Denzel Mims is intercepted by Quandre Diggs at SEA-10 and returned for 27 yards (tackle by Michael Carter),2.280,-1.400
1,11:13,1,10,SEA 37,0,7,Kenneth Walker right guard for 11 yards (tackle by Quincy Williams),1.400,2.130
1,10:37,1,10,SEA 48,0,7,Kenneth Walker right tackle for 6 yards (tackle by John Franklin-Myers and Sheldon Rankins),2.130,2.390
1,10:00,2,4,NYJ 46,0,7,Geno Smith pass complete deep right to Noah Fant for 29 yards (tackle by Lamarcus Joyner),2.390,4.440
1,9:18,1,10,NYJ 17,0,7,Geno Smith pass complete short right to Colby Parkinson for 7 yards (tackle by Kwon Alexander),4.440,5.100
1,8:35,2,3,NYJ 10,0,7,Kenneth Walker left end for 4 yards (tackle by Jordan Whitehead),5.100,5.830
1,8:06,1,6,NYJ 6,0,7,Kenneth Walker right guard for 2 yards (tackle by Sheldon Rankins),5.830,5.340
1,7:31,2,4,NYJ 4,0,7,Kenneth Walker right end for -2 yards (tackle by C.J. Mosley),5.340,0.000
1,6:48,3,7,NYJ 6,0,7,Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Sauce Gardner),0.000,2.970
1,6:40,4,7,NYJ 7,0,10,Jason Myers 25 yard field goal good,2.970,3.000
1,6:37,,,SEA 35,0,10,"Jason Myers kicks off 65 yards, returned by Braxton Berrios for 25 yards (tackle by Nick Bellore and Jon Rhattigan)",0.000,0.610
1,6:31,1,10,NYJ 25,0,10,Zonovan Knight right tackle for 19 yards (tackle by Johnathan Abram and Jordyn Brooks),0.610,1.860
1,5:53,1,10,NYJ 44,0,10,Zonovan Knight right guard for 1 yard (tackle by Al Woods),1.860,1.450
1,5:12,2,9,NYJ 45,0,10,Mike White pass incomplete short right intended for C.J. Uzomah,1.450,0.760
1,5:09,3,9,NYJ 45,0,10,Mike White pass complete short left to Elijah Moore for 15 yards (tackle by Tariq Woolen),0.760,2.920
1,4:34,1,10,SEA 40,0,10,Ty Johnson left tackle for 12 yards (tackle by Johnathan Abram and Jordyn Brooks),2.920,3.710
1,3:56,1,10,SEA 28,0,10,Ty Johnson left guard for -1 yards (tackle by Jordyn Brooks),3.710,3.030
1,3:17,2,11,SEA 29,0,10,Mike White pass incomplete short left intended for C.J. Uzomah,3.030,2.340
1,3:10,3,11,SEA 29,0,10,Mike White pass complete short left to Elijah Moore for 3 yards (tackle by Coby Bryant),2.340,1.740
1,2:24,4,8,SEA 26,3,10,Greg Zuerlein 44 yard field goal good,1.740,3.000
1,2:19,,,NYJ 35,3,10,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
