Unnamed: 0,DET,NOR
First Downs,14,28
Rush-Yds-TDs,20-33-2,35-157-0
Cmp-Att-Yd-TD-INT,16-37-205-0-3,26-34-358-6-1
Sacked-Yards,1-7,0-0
Net Pass Yards,198,358
Total Yards,231,515
Fumbles-Lost,0-0,3-2
Turnovers,3,3
Penalties-Yards,8-80,7-36
Third Down Conv.,3-14,9-13
Fourth Down Conv.,2-2,0-0
Time of Possession,23:30,36:30
