Quarter,Time,Tm,Detail,NYG,NOR
1.0,13:25,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),7,0
,4:13,Giants,Tiki Barber 6 yard pass from Eli Manning (Jay Feely kick),14,0
2.0,14:11,Saints,Joe Horn 21 yard pass from Aaron Brooks (John Carney kick),14,7
,1:54,Giants,Tiki Barber 12 yard rush (Jay Feely kick),21,7
,0:05,Saints,John Carney 21 yard field goal,21,10
3.0,7:48,Giants,Jay Feely 39 yard field goal,24,10
4.0,6:37,Giants,Jay Feely 30 yard field goal,27,10
