Unnamed: 0,NYG,NOR
First Downs,15,23
Rush-Yds-TDs,29-92-2,22-72-0
Cmp-Att-Yd-TD-INT,13-24-165-1-0,27-45-375-1-3
Sacked-Yards,0-0,4-25
Net Pass Yards,165,350
Total Yards,257,422
Fumbles-Lost,2-1,3-3
Turnovers,1,6
Penalties-Yards,9-86,13-92
Third Down Conv.,5-12,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,28:08,31:52
