Quarter,Time,Tm,Detail,KAN,PHI
1.0,10:09,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),0,7
,6:57,Chiefs,Travis Kelce 18 yard pass from Patrick Mahomes (Harrison Butker kick),7,7
2.0,14:52,Eagles,A.J. Brown 45 yard pass from Jalen Hurts (Jake Elliott kick),7,14
,9:39,Chiefs,Nick Bolton 36 yard fumble return (Harrison Butker kick),14,14
,2:20,Eagles,Jalen Hurts 4 yard rush (Jake Elliott kick),14,21
,0:00,Eagles,Jake Elliott 35 yard field goal,14,24
3.0,9:30,Chiefs,Isiah Pacheco 1 yard rush (Harrison Butker kick),21,24
,1:45,Eagles,Jake Elliott 33 yard field goal,21,27
4.0,12:04,Chiefs,Kadarius Toney 5 yard pass from Patrick Mahomes (Harrison Butker kick),28,27
,9:22,Chiefs,Skyy Moore 4 yard pass from Patrick Mahomes (Harrison Butker kick),35,27
,5:15,Eagles,Jalen Hurts 2 yard rush (Jalen Hurts run),35,35
,0:08,Chiefs,Harrison Butker 27 yard field goal,38,35
