Unnamed: 0,DET,DEN
First Downs,16,20
Rush-Yds-TDs,24-144-0,23-79-0
Cmp-Att-Yd-TD-INT,15-33-149-2-0,25-34-277-2-0
Sacked-Yards,1-8,3-24
Net Pass Yards,141,253
Total Yards,285,332
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,8-74,6-44
Third Down Conv.,7-15,4-11
Fourth Down Conv.,1-2,0-0
Time of Possession,26:40,33:20
