Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Micah Knorr kicks off 70 yards, returned by Avon Cobourne for 16 yards (tackle by Nick Ferguson)",0.000,-0.140
1,14:54,1,10,DET 16,0,0,Shawn Bryson up the middle for no gain (tackle by Trevor Pryce),-0.140,-0.660
1,14:17,2,10,DET 16,0,0,Shawn Bryson up the middle for 3 yards (tackle by Monsanto Pope),-0.660,-0.950
1,13:37,3,7,DET 19,0,0,Joey Harrington pass incomplete intended for Az-Zahir Hakim,-0.950,-2.140
1,13:33,4,7,DET 19,0,0,"John Jett punts 45 yards, returned by Deltha O'Neal for no gain",-2.140,-1.330
1,13:25,1,10,DEN 36,0,0,Jake Plummer pass incomplete intended for Shannon Sharpe (defended by Brian Walker),1.330,0.790
1,13:21,2,10,DEN 36,0,0,Jake Plummer pass complete to Mike Anderson for 6 yards (tackle by Barrett Green),0.790,0.890
1,12:55,3,4,DEN 42,0,0,Jake Plummer pass complete to Ed McCaffrey for 4 yards (tackle by Otis Smith),0.890,1.990
1,12:11,1,10,DEN 46,0,0,Ashley Lelie left end for 6 yards (tackle by Brian Walker),1.990,2.260
1,11:27,2,4,DET 48,0,0,Mike Anderson left guard for 1 yard (tackle by Robert Porcher),2.260,1.690
1,10:46,3,3,DET 47,0,0,Jake Plummer sacked by James Hall for -8 yards,1.690,-0.390
1,10:18,4,11,DEN 45,0,0,"Micah Knorr punts 42 yards, returned by Az-Zahir Hakim for 14 yards (tackle by Mike Leach)",-0.390,-0.740
1,10:08,1,10,DET 27,0,0,Olandis Gary left tackle for 2 yards (tackle by Ian Gold and Bertrand Berry),0.740,0.470
1,9:27,2,8,DET 29,0,0,Joey Harrington pass complete to Mikhael Ricks for 7 yards (tackle by Ian Gold),0.470,0.700
1,8:46,3,1,DET 36,0,0,Shawn Bryson right guard for 3 yards (tackle by Trevor Pryce),0.700,1.530
