Quarter,Time,Tm,Detail,NYJ,TAM
1.0,0:54,Buccaneers,Patrick Murray 29 yard field goal,0,3
2.0,0:00,Jets,Chandler Catanzaro 47 yard field goal,3,3
3.0,10:42,Buccaneers,Patrick Murray 49 yard field goal,3,6
,0:29,Buccaneers,Patrick Murray 37 yard field goal,3,9
4.0,6:05,Buccaneers,Charles Sims 6 yard pass from Ryan Fitzpatrick (run failed),3,15
,0:28,Jets,Robbie Chosen 38 yard pass from Josh McCown (Chandler Catanzaro kick),10,15
