Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Patrick Murray kicks off 63 yards, returned by Jojo Natson for 16 yards (tackle by Freddie Martino). Penalty on Brent Qvale: Offensive Holding, 9 yards",0.000,0.380
1,14:55,1,10,NYJ 9,0,0,Bilal Powell left guard for 2 yards (tackle by Robert Ayers),-0.380,-0.630
1,14:19,2,8,NYJ 11,0,0,"Bilal Powell left end for 3 yards (tackle by Ryan Smith). Penalty on Brian Winters: Offensive Holding, 5 yards (no play)",-0.630,-1.000
1,13:59,2,13,NYJ 6,0,0,Josh McCown pass incomplete short right intended for Jermaine Kearse,-1.000,-1.770
1,13:55,3,13,NYJ 6,0,0,Elijah McGuire middle for 3 yards (tackle by Gerald McCoy),-1.770,-2.490
1,13:18,4,10,NYJ 9,0,0,Lac Edwards punts 50 yards,-2.490,-1.660
1,13:06,1,10,TAM 41,0,0,Doug Martin left guard for 7 yards (tackle by Demario Davis),1.660,2.070
1,12:37,2,3,TAM 48,0,0,Doug Martin left end for -2 yards (tackle by Jordan Jenkins and Josh Martin),2.070,1.090
1,11:57,3,5,TAM 46,0,0,Ryan Fitzpatrick middle for 3 yards (tackle by Muhammad Wilkerson),1.090,-0.130
1,11:21,4,2,TAM 49,0,0,"Bryan Anger punts 51 yards, touchback",-0.130,-0.280
1,11:12,1,10,NYJ 20,0,0,Bilal Powell left end for 21 yards (tackle by Justin Evans),0.280,1.660
1,10:39,1,10,NYJ 41,0,0,"Josh McCown pass complete short left to Bilal Powell for 2 yards (tackle by Kendell Beckwith). Penalty on Jermaine Kearse: Offensive Pass Interference, 10 yards (no play)",1.660,1.000
1,10:21,1,20,NYJ 31,0,0,Elijah McGuire right end for 5 yards (tackle by Justin Evans),1.000,0.450
1,9:44,2,15,NYJ 36,0,0,Josh McCown pass incomplete short left intended for Elijah McGuire,0.450,-0.230
1,9:38,3,15,NYJ 36,0,0,"Josh McCown pass complete short right to Jermaine Kearse for 13 yards (tackle by Lavonte David). Josh McCown fumbles, recovered by Josh McCown at NYJ-31",-0.230,-0.130
1,8:58,4,2,NYJ 49,0,0,"Lac Edwards punts 39 yards, fair catch by Bernard Reedy",-0.130,0.350
1,8:50,1,10,TAM 12,0,0,Doug Martin left guard for 3 yards (tackle by Leonard Williams and Steve McLendon),-0.350,-0.500
1,8:15,2,7,TAM 15,0,0,Ryan Fitzpatrick pass incomplete short middle intended for Doug Martin,-0.500,-1.070
1,8:09,3,7,TAM 15,0,0,Ryan Fitzpatrick pass complete short right to DeSean Jackson for 17 yards (tackle by Demario Davis),-1.070,1.070
1,7:29,1,10,TAM 32,0,0,Doug Martin middle for 1 yard (tackle by Darron Lee and Leonard Williams),1.070,0.660
1,6:53,2,9,TAM 33,0,0,Ryan Fitzpatrick pass incomplete short middle intended for Adam Humphries (defended by Buster Skrine),0.660,-0.030
1,6:49,3,9,TAM 33,0,0,Ryan Fitzpatrick pass complete short left to Cameron Brate for 10 yards (tackle by Jamal Adams),-0.030,1.800
1,6:05,1,10,TAM 43,0,0,Doug Martin left tackle for 7 yards (tackle by Buster Skrine and Demario Davis),1.800,2.200
1,5:35,2,3,,0,0,Ryan Fitzpatrick pass incomplete deep left intended for DeSean Jackson,2.200,1.490
1,5:28,3,3,,0,0,Ryan Fitzpatrick pass complete short left to Chris Godwin for 7 yards (tackle by Darryl Roberts),1.490,2.720
1,4:58,1,10,NYJ 43,0,0,Doug Martin left end for 4 yards (tackle by Jamal Adams),2.720,2.720
1,4:23,2,6,NYJ 39,0,0,Ryan Fitzpatrick pass complete short left to DeSean Jackson for 7 yards (tackle by Morris Claiborne),2.720,3.450
1,3:49,1,10,NYJ 32,0,0,Jacquizz Rodgers left guard for 4 yards (tackle by Darryl Roberts),3.450,3.440
1,3:19,2,6,NYJ 28,0,0,"Penalty on Donovan Smith: False Start, 5 yards (no play)",3.440,2.770
1,3:11,2,11,NYJ 33,0,0,Ryan Fitzpatrick pass complete short left to DeSean Jackson for 22 yards (tackle by Marcus Maye),2.770,4.840
1,2:42,1,10,NYJ 11,0,0,"Penalty on J.R. Sweezy: False Start, 5 yards (no play)",4.840,4.340
1,2:18,1,15,NYJ 16,0,0,Doug Martin middle for 1 yard (tackle by Leonard Williams),4.340,3.560
1,1:42,2,14,NYJ 15,0,0,Doug Martin left tackle for 4 yards (tackle by Marcus Maye),3.560,3.130
1,1:06,3,10,NYJ 11,0,0,Ryan Fitzpatrick pass incomplete short left intended for Charles Sims,3.130,2.700
1,0:57,4,10,NYJ 11,0,3,Patrick Murray 29 yard field goal good,2.700,3.000
1,0:54,,,TAM 35,0,3,"Patrick Murray kicks off 65 yards, touchback",0.000,-0.610
1,0:54,1,10,NYJ 25,0,3,Josh McCown pass complete short right to Jermaine Kearse for 5 yards (tackle by T.J. Ward),0.610,0.740
1,0:19,2,5,NYJ 30,0,3,Elijah McGuire right end for 6 yards (tackle by Brent Grimes),0.740,1.330
Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 36,0,3,Josh McCown pass incomplete short left intended for Austin Seferian-Jenkins,1.330,0.790
2,14:56,2,10,NYJ 36,0,3,Elijah McGuire right end for -1 yards (tackle by Lavonte David),0.790,-0.030
2,14:14,3,11,NYJ 35,0,3,Josh McCown pass incomplete deep middle intended for Robby Anderson (defended by Kwon Alexander),-0.030,-1.040
2,14:05,4,11,NYJ 35,0,3,"Lac Edwards punts 59 yards, returned by Bernard Reedy for 44 yards (tackle by Lac Edwards)",-1.040,-2.260
2,13:49,1,10,,0,3,Doug Martin middle for 1 yard (tackle by Jordan Jenkins),2.260,1.850
2,13:13,2,9,NYJ 49,0,3,Ryan Fitzpatrick pass complete short right to Charles Sims for 1 yard (tackle by Darron Lee),1.850,1.290
2,12:26,3,8,NYJ 48,0,3,Ryan Fitzpatrick sacked by Leonard Williams for -6 yards,1.290,-0.320
2,11:46,4,14,TAM 46,0,3,Bryan Anger punts 34 yards,-0.320,-0.280
2,11:35,1,10,NYJ 20,0,3,"Josh McCown pass incomplete short left intended for Elijah McGuire. Penalty on Brian Winters: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,11:30,1,20,NYJ 10,0,3,Bilal Powell middle for 1 yard (tackle by Robert Ayers),-0.760,-1.440
2,10:54,2,19,NYJ 11,0,3,Josh McCown pass incomplete deep middle intended for Robby Anderson is intercepted by Brent Grimes at TAM-40 and returned for 28 yards,-1.440,-3.450
2,10:40,1,10,NYJ 32,0,3,Ryan Fitzpatrick pass incomplete deep middle intended for Chris Godwin is intercepted by Darryl Roberts at NYJ-5,3.450,0.380
2,10:32,1,10,NYJ 5,0,3,Bilal Powell middle for 2 yards. Penalty on NYJ: Illegal Formation (Declined),-0.380,-0.630
2,10:08,2,8,NYJ 7,0,3,Bilal Powell left guard for 3 yards (tackle by Chris Baker and Lavonte David),-0.630,-0.840
2,9:28,3,5,NYJ 10,0,3,Josh McCown pass incomplete short middle intended for Austin Seferian-Jenkins,-0.840,-2.490
2,9:24,4,5,NYJ 10,0,3,"Lac Edwards punts 58 yards, returned by Bernard Reedy for 3 yards (tackle by Rashard Robinson)",-2.490,-1.270
2,9:11,1,10,TAM 35,0,3,Peyton Barber right tackle for -1 yards (tackle by Jamal Adams),1.270,0.590
2,8:43,2,11,TAM 34,0,3,Ryan Fitzpatrick pass incomplete short right intended for DeSean Jackson,0.590,-0.100
2,8:39,3,11,TAM 34,0,3,Ryan Fitzpatrick middle for 7 yards (tackle by Jamal Adams),-0.100,-0.650
2,7:32,4,4,TAM 41,0,3,"Bryan Anger punts 59 yards, touchback",-0.650,-0.280
2,7:23,1,10,NYJ 20,0,3,Elijah McGuire right end for -2 yards (tackle by Lavonte David),0.280,-0.630
2,6:43,2,12,NYJ 18,0,3,Josh McCown pass complete deep middle to Robby Anderson for 20 yards (tackle by Ryan Smith),-0.630,1.470
2,6:07,1,10,NYJ 38,0,3,Bilal Powell right guard for no gain (tackle by Chris Baker),1.470,0.920
2,5:16,2,10,NYJ 38,0,3,Josh McCown pass incomplete short middle intended for Jermaine Kearse,0.920,0.230
2,5:11,3,10,NYJ 38,0,3,Josh McCown pass complete short middle to Elijah McGuire for 11 yards,0.230,2.190
2,4:27,1,10,NYJ 49,0,3,Josh McCown pass incomplete short left intended for Neal Sterling,2.190,1.650
2,4:21,2,10,NYJ 49,0,3,Elijah McGuire left tackle for 5 yards (tackle by Robert Ayers),1.650,1.620
2,3:37,3,5,TAM 46,0,3,"Josh McCown middle for 1 yard (tackle by Kwon Alexander). Penalty on Kendell Beckwith: Defensive Offside, 5 yards (no play)",1.620,2.850
2,2:59,1,10,TAM 41,0,3,ArDarius Stewart left end for 4 yards,2.850,2.850
2,2:26,2,6,TAM 37,0,3,Josh McCown sacked by Will Clarke for -8 yards,2.850,0.000
2,2:16,,,,,,Timeout #1 by Tampa Bay Buccaneers,0.000,-1.090
2,2:16,3,14,TAM 45,0,3,Josh McCown pass complete deep middle to Robby Anderson for 20 yards (tackle by Ryan Smith),1.090,3.910
2,2:00,1,10,TAM 25,0,3,Josh McCown pass incomplete deep right intended for Jermaine Kearse,3.910,3.360
2,1:55,2,10,TAM 25,0,3,Josh McCown pass complete short middle to Elijah McGuire for 13 yards (tackle by Lavonte David),3.360,4.780
2,1:15,1,10,TAM 12,0,3,Josh McCown pass incomplete short middle intended for Austin Seferian-Jenkins (defended by Chris Conte),4.780,4.100
2,1:10,2,10,TAM 12,0,3,Josh McCown sacked by Kendell Beckwith for -8 yards,4.100,2.480
2,0:25,3,18,TAM 20,0,3,"Elijah McGuire left end for 1 yard (tackle by Ryan Smith). Penalty on Austin Seferian-Jenkins: Offensive Holding, 10 yards (no play)",2.480,1.160
2,0:19,3,28,TAM 30,0,3,Bilal Powell middle for 1 yard (tackle by Lavonte David),1.160,0.000
2,0:03,,,,,,Timeout #1 by New York Jets,0.000,0.000
2,0:03,,,,,,Timeout #2 by Tampa Bay Buccaneers,0.000,-1.500
2,0:03,4,27,TAM 29,3,3,Chandler Catanzaro 47 yard field goal good,1.500,3.000
Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,3,3,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,TAM 25,3,3,Ryan Fitzpatrick pass complete short middle to Chris Godwin for 16 yards (tackle by Buster Skrine),0.610,1.660
3,14:26,1,10,TAM 41,3,3,Ryan Fitzpatrick pass complete short right to Chris Godwin for 12 yards (tackle by Demario Davis),1.660,2.460
3,13:55,1,10,NYJ 47,3,3,Doug Martin right guard for no gain (tackle by Steve McLendon),2.460,1.910
3,13:21,2,10,NYJ 47,3,3,Ryan Fitzpatrick pass incomplete short right intended for Doug Martin,1.910,1.220
3,13:16,3,10,NYJ 47,3,3,Ryan Fitzpatrick pass complete deep middle to DeSean Jackson for 19 yards (tackle by Darryl Roberts),1.220,3.710
3,12:49,1,10,NYJ 28,3,3,"Doug Martin left tackle for 14 yards (tackle by Marcus Maye and Muhammad Wilkerson). Penalty on Donovan Smith: Offensive Holding, 10 yards (no play)",3.710,3.050
3,12:14,1,20,NYJ 38,3,3,Ryan Fitzpatrick pass complete short right to Adam Humphries for 4 yards (tackle by Darryl Roberts),3.050,2.360
3,11:37,2,16,NYJ 34,3,3,Jacquizz Rodgers right tackle for 3 yards (tackle by Freddie Bishop),2.360,2.080
3,10:53,3,13,NYJ 31,3,3,Ryan Fitzpatrick pass incomplete deep middle intended for Chris Godwin,2.080,1.320
3,10:47,4,13,NYJ 31,3,6,Patrick Murray 49 yard field goal good,1.320,3.000
3,10:42,,,TAM 35,3,6,"Patrick Murray kicks off 65 yards, touchback",0.000,-0.610
3,10:42,1,10,NYJ 25,3,6,Josh McCown pass complete short left to Robby Anderson for 7 yards (tackle by Ryan Smith),0.610,1.010
3,10:02,2,3,NYJ 32,3,6,Josh McCown pass incomplete short left intended for Elijah McGuire,1.010,0.300
3,9:58,3,3,NYJ 32,3,6,Josh McCown pass incomplete short right intended for Elijah McGuire,0.300,-1.240
3,9:53,4,3,NYJ 32,3,6,Lac Edwards punts 37 yards,-1.240,-1.000
3,9:42,1,10,TAM 31,3,6,"Ryan Fitzpatrick pass complete short left to DeSean Jackson for 8 yards (tackle by Buster Skrine). Penalty on Buster Skrine: Unnecessary Roughness, 15 yards",1.000,2.520
3,9:08,1,10,NYJ 46,3,6,Doug Martin left end for 2 yards (tackle by Buster Skrine),2.520,2.250
