Quarter,Time,Tm,Detail,NOR,DAL
1.0,12:06,Cowboys,Julius Jones 77 yard rush (Martin Gramatica kick),0,7
2.0,14:53,Saints,Mike Karney 2 yard rush (John Carney kick),7,7
,10:19,Saints,Mike Karney 3 yard pass from Drew Brees (John Carney kick),14,7
,0:44,Saints,Jamal Jones 27 yard pass from Drew Brees (John Carney kick),21,7
3.0,11:26,Cowboys,Martin Gramatica 24 yard field goal,21,10
,9:59,Saints,Reggie Bush 61 yard pass from Drew Brees (John Carney kick),28,10
,7:46,Cowboys,Terrell Owens 34 yard pass from Tony Romo (Martin Gramatica kick),28,17
,5:16,Saints,Mike Karney 6 yard pass from Drew Brees (John Carney kick),35,17
,3:47,Saints,Devery Henderson 42 yard pass from Drew Brees (John Carney kick),42,17
