Unnamed: 0,NOR,DAL
First Downs,28,16
Rush-Yds-TDs,36-159-1,16-116-1
Cmp-Att-Yd-TD-INT,26-38-384-5-0,16-33-249-1-2
Sacked-Yards,1-7,2-18
Net Pass Yards,377,231
Total Yards,536,347
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,7-54,6-43
Third Down Conv.,9-15,1-8
Fourth Down Conv.,1-2,1-2
Time of Possession,37:11,22:49
