Quarter,Time,Tm,Detail,BUF,NYJ
1.0,4:01,Jets,Randy Bullock 29 yard field goal,0,3
2.0,5:47,Bills,Dan Carpenter 47 yard field goal,3,3
,5:38,Bills,Duke Williams 19 yard fumble return (Dan Carpenter kick failed),9,3
,0:03,Bills,Dan Carpenter 41 yard field goal,12,3
3.0,11:15,Bills,Karlos Williams 26 yard pass from Tyrod Taylor (Dan Carpenter kick),19,3
,8:42,Bills,Dan Carpenter 29 yard field goal,22,3
,4:39,Jets,Brandon Marshall 14 yard pass from Ryan Fitzpatrick (Randy Bullock kick),22,10
4.0,7:23,Jets,Eric Decker 31 yard pass from Ryan Fitzpatrick (Randy Bullock kick),22,17
