Quarter,Time,Tm,Detail,KAN,SDG
1.0,4:30,Chargers,Antonio Gates 19 yard pass from Drew Brees (Nate Kaeding kick),0,7
2.0,14:56,Chargers,Eric Parker 17 yard pass from LaDainian Tomlinson (Nate Kaeding kick),0,14
,1:56,Chiefs,Lawrence Tynes 34 yard field goal,3,14
,0:27,Chargers,Antonio Gates 20 yard pass from Drew Brees (Nate Kaeding kick),3,21
3.0,6:45,Chiefs,Tony Gonzalez 16 yard pass from Trent Green (Lawrence Tynes kick),10,21
4.0,12:00,Chiefs,Lawrence Tynes 20 yard field goal,13,21
,9:10,Chargers,Antonio Gates 35 yard pass from Drew Brees (Nate Kaeding kick),13,28
,2:12,Chiefs,Eddie Kennison 7 yard pass from Trent Green (Lawrence Tynes kick),20,28
