Unnamed: 0,KAN,SDG
First Downs,21,22
Rush-Yds-TDs,21-95-0,22-83-0
Cmp-Att-Yd-TD-INT,31-43-347-2-0,26-44-341-4-1
Sacked-Yards,4-24,0-0
Net Pass Yards,323,341
Total Yards,418,424
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,9-59,4-38
Third Down Conv.,2-13,4-11
Fourth Down Conv.,1-2,0-1
Time of Possession,31:19,28:41
