Unnamed: 0,TEN,WAS
First Downs,14,16
Rush-Yds-TDs,22-76-0,26-100-0
Cmp-Att-Yd-TD-INT,17-26-160-2-1,21-28-267-1-1
Sacked-Yards,1-0,3-16
Net Pass Yards,160,251
Total Yards,236,351
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,11-96,7-50
Third Down Conv.,3-11,3-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:56,29:04
