Quarter,Time,Tm,Detail,TEN,WAS
1.0,10:08,Redskins,Kai Forbath 31 yard field goal,0,3
,3:41,Titans,Ryan Succop 36 yard field goal,3,3
2.0,7:34,Redskins,Kai Forbath 31 yard field goal,3,6
,1:04,Titans,Kendall Wright 14 yard pass from Charlie Whitehurst (Ryan Succop kick),10,6
3.0,12:27,Redskins,Pierre Garcon 70 yard pass from Colt McCoy (Kai Forbath kick),10,13
4.0,13:27,Redskins,Kai Forbath 27 yard field goal,10,16
,7:41,Titans,Derek Hagan 38 yard pass from Charlie Whitehurst (Ryan Succop kick),17,16
,0:00,Redskins,Kai Forbath 22 yard field goal,17,19
