#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:01,SDG 28,9,5:39,39,Punt
2,1,6:37,SDG 40,9,4:45,60,Touchdown
3,1,0:37,SDG 20,3,2:16,-7,Punt
4,2,11:20,SDG 25,3,2:21,4,Punt
5,2,7:32,SDG 13,1,0:11,15,Fumble
6,2,5:55,SDG 22,3,1:22,-7,Punt
7,2,3:28,SDG 28,3,1:45,6,Punt
8,2,1:43,SDG 20,3,0:28,2,Punt
9,2,0:02,SDG 31,1,0:02,-1,End of Half
10,3,15:00,SDG 41,4,2:22,18,Punt
11,3,11:09,SDG 34,5,2:20,24,Punt
12,3,5:14,SDG 9,5,2:51,91,Touchdown
13,4,13:50,SDG 10,11,6:47,58,Downs
14,4,4:52,SDG 33,10,4:19,61,Downs
