Quarter,Time,Tm,Detail,SDG,KAN
1.0,1:52,Chargers,Antonio Gates 3 yard pass from Philip Rivers (Nate Kaeding kick),7,0
,0:37,Chiefs,Jamaal Charles 56 yard rush (Ryan Succop kick),7,7
2.0,5:55,Chiefs,Tony Moeaki 2 yard pass from Matt Cassel (Ryan Succop kick),7,14
,1:43,Chiefs,Dexter McCluster 94 yard punt return (Ryan Succop kick),7,21
3.0,2:23,Chargers,Legedu Naanee 59 yard pass from Philip Rivers (Nate Kaeding kick),14,21
