Unnamed: 0,SDG,KAN
First Downs,18,9
Rush-Yds-TDs,29-109-0,26-135-1
Cmp-Att-Yd-TD-INT,22-39-298-2-0,10-22-68-1-0
Sacked-Yards,2-18,1-6
Net Pass Yards,280,62
Total Yards,389,197
Fumbles-Lost,3-1,1-0
Turnovers,1,0
Penalties-Yards,5-30,3-35
Third Down Conv.,4-15,1-11
Fourth Down Conv.,1-3,0-1
Time of Possession,37:28,22:32
