Quarter,Time,Tm,Detail,NYG,NYJ
1.0,7:56,Jets,Josh Baker 5 yard pass from Mark Sanchez (Nick Folk kick),0,7
2.0,11:51,Giants,Lawrence Tynes 21 yard field goal,3,7
,2:12,Giants,Victor Cruz 99 yard pass from Eli Manning (Lawrence Tynes kick),10,7
3.0,0:13,Giants,Ahmad Bradshaw 14 yard rush (Lawrence Tynes kick),17,7
4.0,13:18,Giants,Lawrence Tynes 36 yard field goal,20,7
,7:17,Jets,Mark Sanchez 1 yard rush (Nick Folk kick),20,14
,2:13,Giants,"Safety, Chris Canty sacked Mark Sanchez in end zone.",22,14
,2:04,Giants,Ahmad Bradshaw 19 yard rush (Lawrence Tynes kick),29,14
