#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,NYG 28,3,2:22,5,Punt
2,1,7:56,NYG 32,3,1:22,-2,Punt
3,1,4:29,NYG 16,6,1:53,17,Punt
4,1,0:11,NYG 45,9,3:20,53,Field Goal
5,2,6:15,NYG 20,3,1:32,5,Punt
6,2,2:37,NYG 1,3,0:25,99,Touchdown
7,3,14:25,NYG 31,3,1:40,2,Punt
8,3,10:02,NYG 27,3,0:57,9,Punt
9,3,5:57,NYG 22,4,2:01,29,Punt
10,3,1:59,NYG 19,4,1:46,81,Touchdown
11,4,14:46,NYJ 14,4,1:28,-4,Field Goal
12,4,8:53,NYG 20,1,0:10,0,Interception
13,4,7:17,NYG 13,3,1:38,-5,Punt
14,4,4:55,NYG 18,6,2:31,43,Punt
15,4,2:13,NYJ 19,1,0:09,19,Touchdown
16,4,0:40,NYG 26,1,0:40,-1,End of Game
