Quarter,Time,Tm,Detail,HOU,OAK
1.0,9:37,Texans,J.J. Watt 1 yard pass from Ryan Fitzpatrick (Randy Bullock kick),7,0
,0:05,Texans,Arian Foster 5 yard rush (Randy Bullock kick),14,0
2.0,10:31,Texans,Randy Bullock 33 yard field goal,17,0
3.0,8:29,Texans,DeAndre Hopkins 12 yard pass from Ryan Fitzpatrick (Randy Bullock kick),24,0
,3:14,Texans,Randy Bullock 39 yard field goal,27,0
4.0,14:07,Raiders,Darren McFadden 1 yard rush (Sebastian Janikowski kick),27,7
,4:46,Texans,Randy Bullock 46 yard field goal,30,7
,0:13,Raiders,James Jones 9 yard pass from Derek Carr (Sebastian Janikowski kick),30,14
