Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
1,8:18,4,7,OAK 23,7,0,"Marquette King punts 47 yards, fair catch by Damaris Johnson",-1.830,-0.940
1,8:12,1,10,HOU 30,7,0,Arian Foster right tackle for no gain (tackle by Carlos Rogers),0.940,0.390
1,7:33,2,10,HOU 30,7,0,Arian Foster left guard for 8 yards (tackle by Sio Moore and Tyvon Branch),0.390,0.760
1,6:48,3,2,HOU 38,7,0,Ryan Fitzpatrick pass complete short right to DeAndre Hopkins for 7 yards (tackle by Tarell Brown),0.760,1.930
1,6:19,1,10,HOU 45,7,0,Alfred Blue left tackle for -1 yards (tackle by Justin Ellis),1.930,1.250
1,5:45,2,11,HOU 44,7,0,Alfred Blue left tackle for 3 yards (tackle by Sio Moore and Tarell Brown),1.250,0.960
1,5:03,3,8,HOU 47,7,0,Ryan Fitzpatrick pass complete deep middle to Garrett Graham for 26 yards (tackle by Sio Moore and Tyvon Branch),0.960,3.780
1,4:26,1,10,OAK 27,7,0,Arian Foster left tackle for 3 yards (tackle by Sio Moore),3.780,3.640
1,3:52,2,7,OAK 24,7,0,Arian Foster left tackle for 1 yard (tackle by Khalil Mack),3.640,3.640
1,3:09,2,7,OAK 24,7,0,Timeout #1 by Houston Texans,3.640,3.070
1,3:09,3,6,OAK 23,7,0,Ryan Fitzpatrick pass complete short left to Andre Johnson for 10 yards (tackle by Tarell Brown),3.070,4.710
1,2:27,1,10,OAK 13,7,0,Ryan Fitzpatrick pass complete short right to Andre Johnson for 6 yards (tackle by Charles Woodson),4.710,5.150
1,1:42,2,4,OAK 7,7,0,"Arian Foster left tackle for no gain (tackle by Khalil Mack). Penalty on Antonio Smith: Defensive Offside, 3 yards (no play)",5.150,5.730
1,1:22,2,1,OAK 4,7,0,Ryan Fitzpatrick pass incomplete short left intended for Andre Johnson (defended by Chimdi Chekwa),5.730,5.010
1,1:15,3,1,OAK 4,7,0,Arian Foster up the middle for 3 yards (tackle by Justin Tuck),5.010,6.970
1,1:10,1,1,OAK 1,7,0,"Penalty on Ryan Fitzpatrick: Delay of Game, 4 yards (no play)",6.970,6.060
1,0:09,1,5,OAK 5,13,0,"Arian Foster up the middle for 5 yards, touchdown",6.060,7.000
1,0:09,,,OAK 2,14,0,Randy Bullock kicks extra point good,0.000,0.000
1,0:09,,,HOU 35,14,0,"Randy Bullock kicks off 73 yards, returned by Latavius Murray for 25 yards (tackle by Mike Mohamed)",0.000,0.060
Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 17,14,0,Derek Carr pass incomplete deep left intended for Rod Streater,-0.060,-0.580
2,14:53,2,10,OAK 17,14,0,Derek Carr right end for 41 yards (tackle by D.J. Swearinger),-0.580,2.790
2,14:18,1,10,HOU 42,14,0,Darren McFadden right guard for 4 yards (tackle by Justin Tuggle),2.790,2.780
2,14:16,2,6,HOU 38,14,0,Derek Carr pass complete short left to Andre Holmes for 7 yards (tackle by Kareem Jackson),2.780,3.510
2,13:08,1,10,HOU 31,14,0,Derek Carr pass incomplete deep middle intended for Mychal Rivera is intercepted by Kareem Jackson at HOU-11 and returned for 65 yards,3.510,-3.970
2,12:54,1,10,OAK 24,14,0,Ryan Fitzpatrick pass complete short middle to Andre Johnson for 14 yards (tackle by Chimdi Chekwa),3.970,4.910
2,12:14,1,10,OAK 10,14,0,Jonathan Grimes right guard for 1 yard (tackle by Tyvon Branch),4.910,4.380
2,11:45,2,9,OAK 9,14,0,"Jonathan Grimes up the middle for -2 yards (tackle by Sio Moore). Penalty on Ryan Griffin: Offensive Holding, 10 yards (no play)",4.380,3.070
2,11:19,2,19,OAK 19,14,0,Alfred Blue up the middle for 4 yards (tackle by Tyvon Branch),3.070,2.930
2,10:38,3,15,OAK 15,14,0,Ryan Fitzpatrick pass incomplete short middle intended for Arian Foster (defended by Khalil Mack),2.930,2.440
2,10:34,4,15,OAK 15,17,0,Randy Bullock 33 yard field goal good,2.440,3.000
2,10:34,,,HOU 35,17,0,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
2,10:31,1,10,OAK 20,17,0,Darren McFadden up the middle for 4 yards (tackle by Brian Cushing),0.280,0.270
2,10:00,2,6,OAK 24,17,0,"Darren McFadden left tackle for 2 yards (tackle by Brian Cushing and A.J. Bouye). Penalty on Johnathan Joseph: Defensive Offside, 5 yards (no play)",0.270,0.950
2,9:31,2,1,OAK 29,17,0,Derek Carr pass complete short left to Mychal Rivera for 4 yards (tackle by Kendrick Lewis),0.950,1.140
2,9:03,1,10,OAK 33,17,0,Derek Carr pass complete short middle to Denarius Moore for 11 yards (tackle by Jared Crick),1.140,1.860
2,8:28,1,10,OAK 44,17,0,Darren McFadden left tackle for no gain (tackle by Brian Cushing),1.860,1.320
2,7:49,2,10,OAK 44,17,0,"Derek Carr pass complete short right to James Jones for 3 yards (tackle by Johnathan Joseph). James Jones fumbles (forced by Johnathan Joseph), ball out of bounds at OAK-47",1.320,1.030
2,7:10,3,7,OAK 47,17,0,Derek Carr pass incomplete deep left intended for Rod Streater. Penalty on Darren McFadden: Offensive Holding (Declined),1.030,-0.260
2,7:05,4,7,OAK 47,17,0,"Marquette King punts 33 yards, muffed catch by Damaris Johnson, recovered by Damaris Johnson and returned for no gain",-0.260,-0.540
2,6:55,1,10,HOU 24,17,0,Arian Foster right tackle for 1 yard (tackle by Chimdi Chekwa),0.540,0.130
2,6:22,2,9,HOU 25,17,0,Ryan Fitzpatrick pass incomplete short left intended for Damaris Johnson,0.130,-0.560
2,6:19,3,9,HOU 25,17,0,Arian Foster right guard for 16 yards (tackle by Khalil Mack),-0.560,1.660
2,5:51,1,10,HOU 41,17,0,Alfred Blue up the middle for 2 yards (tackle by Tyvon Branch),1.660,1.390
2,5:12,2,8,HOU 43,17,0,Ryan Fitzpatrick pass complete short middle to Andre Johnson for 15 yards (tackle by Tyvon Branch),1.390,2.790
2,4:41,1,10,OAK 42,17,0,Arian Foster left tackle for 1 yard (tackle by Pat Sims),2.790,2.380
2,4:01,2,9,OAK 41,17,0,"Arian Foster left tackle for 5 yards (tackle by Tyvon Branch). Penalty on Ryan Griffin: Offensive Holding (Offsetting), Penalty on Sio Moore: Unsportsmanlike Conduct (Offsetting) (no play)",2.380,2.380
2,3:33,2,9,OAK 41,17,0,"Ryan Fitzpatrick pass complete short middle to DeAndre Hopkins for 15 yards (tackle by Carlos Rogers). Penalty on Ryan Griffin: Offensive Holding, 10 yards (no play)",2.380,1.030
2,3:08,2,19,HOU 49,17,0,Ryan Fitzpatrick pass complete short left to Arian Foster for 3 yards (tackle by Sio Moore),1.030,0.760
2,2:38,3,16,OAK 48,17,0,Ryan Fitzpatrick pass incomplete deep left intended for DeAndre Hopkins,0.760,0.070
2,2:34,4,16,OAK 48,17,0,"Shane Lechler punts 35 yards, fair catch by Travis Carrie",0.070,0.320
2,2:27,1,10,OAK 13,17,0,Darren McFadden left guard for 6 yards (tackle by Mike Mohamed),-0.320,0.030
2,2:01,2,4,OAK 19,17,0,Derek Carr pass complete short left to James Jones for 5 yards (tackle by A.J. Bouye),0.030,0.540
2,1:57,1,10,OAK 24,17,0,Derek Carr pass complete short right to James Jones for 15 yards (tackle by A.J. Bouye),0.540,1.530
2,1:32,1,10,OAK 39,17,0,Derek Carr pass complete short middle to Rod Streater for 6 yards (tackle by Mike Mohamed),1.530,1.800
2,1:07,2,4,OAK 45,17,0,"Derek Carr pass complete deep right to James Jones for 26 yards (tackle by Kendrick Lewis). James Jones fumbles (forced by Kendrick Lewis), recovered by James Jones at HOU-28 for 15 yards. James Jones fumbles (forced by Johnathan Joseph), recovered by D.J. Swearinger at HOU-3 (tackle by Rod Streater)",1.800,0.380
2,0:52,1,10,HOU 3,17,0,Arian Foster right tackle for 1 yard (tackle by Justin Ellis),-0.380,-0.380
2,0:47,1,10,HOU 3,17,0,Timeout #1 by Oakland Raiders,-0.380,-0.710
2,0:47,2,9,HOU 4,17,0,Arian Foster up the middle for no gain (tackle by Justin Tuck),-0.710,-0.710
2,0:44,2,9,HOU 4,17,0,Timeout #2 by Oakland Raiders,-0.710,-1.300
2,0:44,3,9,HOU 4,17,0,Arian Foster up the middle for 1 yard (tackle by Tyvon Branch),-1.300,-1.300
2,0:39,3,9,HOU 4,17,0,Timeout #3 by Oakland Raiders,-1.300,-2.490
2,0:39,4,8,HOU 5,17,0,"Shane Lechler punts 65 yards, returned by Travis Carrie for 3 yards (tackle by Danieal Manning)",-2.490,-1.140
2,0:27,1,10,OAK 33,17,0,Derek Carr pass complete short middle to James Jones for 12 yards (tackle by Johnathan Joseph and A.J. Bouye). Penalty on Tim Jamison: Illegal Use of Hands (Declined),1.140,1.930
2,0:20,1,10,OAK 45,17,0,Derek Carr right end for 3 yards (tackle by Johnathan Joseph),1.930,1.790
2,0:12,2,7,OAK 48,17,0,Derek Carr pass complete short middle to Darren McFadden for 8 yards (tackle by Johnathan Joseph),1.790,2.650
Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,17,0,"Randy Bullock kicks off 65 yards, returned by Latavius Murray for 24 yards (tackle by Akeem Dent)",0.000,0.540
3,14:53,1,10,OAK 24,17,0,Derek Carr pass incomplete deep middle intended for James Jones (defended by Kareem Jackson),0.540,0.000
3,14:48,2,10,OAK 24,17,0,Darren McFadden left end for 2 yards (tackle by Whitney Mercilus),0.000,-0.430
3,14:11,3,8,OAK 26,17,0,Derek Carr pass complete short right to James Jones for 11 yards (tackle by Kareem Jackson),-0.430,1.400
3,13:31,1,10,OAK 37,17,0,Darren McFadden right guard for 7 yards (tackle by Kendrick Lewis and Darryl Morris),1.400,1.800
3,12:51,2,3,OAK 44,17,0,Darren McFadden up the middle for 10 yards (tackle by Brian Cushing and Justin Tuggle),1.800,2.520
3,12:09,1,10,HOU 46,17,0,Derek Carr pass complete short right to Marcel Reece for 11 yards (tackle by Darryl Morris),2.520,3.250
3,11:42,1,10,HOU 35,17,0,Derek Carr pass incomplete deep right intended for James Jones,3.250,2.700
3,11:37,2,10,HOU 35,17,0,Darren McFadden left end for -3 yards (tackle by Kendrick Lewis),2.700,1.620
3,10:51,3,13,HOU 38,17,0,"Derek Carr pass complete short left to Mychal Rivera for 6 yards (tackle by D.J. Swearinger). Mychal Rivera fumbles (forced by D.J. Swearinger), recovered by Johnathan Joseph at HOU-30 and returned for 49 yards (tackle by Latavius Murray)",1.620,-4.170
3,10:38,1,10,OAK 21,17,0,Arian Foster left tackle for 1 yard (tackle by Miles Burris),4.170,3.760
3,10:05,2,9,OAK 20,17,0,Arian Foster left tackle for no gain (tackle by Pat Sims),3.760,3.070
3,9:22,3,9,OAK 20,17,0,"Ryan Fitzpatrick pass incomplete short left intended for DeAndre Hopkins. Penalty on Tarell Brown: Defensive Holding, 5 yards (no play)",3.070,4.580
3,9:18,1,10,OAK 15,17,0,Ryan Fitzpatrick pass incomplete short right intended for DeAndre Hopkins,4.580,3.950
3,9:13,2,10,OAK 15,17,0,Arian Foster right guard for 3 yards (tackle by Charles Woodson),3.950,3.580
3,8:34,3,7,OAK 12,23,0,"Ryan Fitzpatrick pass complete short right to DeAndre Hopkins for 12 yards, touchdown",3.580,7.000
3,8:34,,,OAK 2,24,0,Randy Bullock kicks extra point good,0.000,0.000
3,8:34,,,HOU 35,24,0,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
3,8:29,1,10,OAK 20,24,0,"Darren McFadden right tackle for 21 yards (tackle by Kareem Jackson). Penalty on Stefen Wisniewski: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,7:54,1,20,OAK 10,24,0,Derek Carr pass complete short left to James Jones for 4 yards (tackle by Darryl Morris),-0.760,-1.180
3,7:26,2,16,OAK 14,24,0,Derek Carr pass incomplete short left intended for Andre Holmes. Penalty on Gabe Jackson: Illegal Use of Hands (Declined),-1.180,-2.030
3,7:22,3,16,OAK 14,24,0,Derek Carr pass incomplete deep left intended for Mychal Rivera,-2.030,-2.470
3,7:17,4,16,OAK 14,24,0,"Marquette King punts 40 yards, returned by Damaris Johnson for 9 yards (tackle by Kaluka Maiava)",-2.470,-2.590
3,7:07,1,10,OAK 45,24,0,"Ryan Fitzpatrick pass complete short left to Garrett Graham for 5 yards (tackle by Charles Woodson). Penalty on Derek Newton: Offensive Holding, 10 yards (no play)",2.590,1.930
3,6:41,1,20,HOU 45,24,0,Arian Foster right guard for 6 yards (tackle by Justin Ellis),1.930,1.500
3,6:02,2,14,OAK 49,24,0,Ryan Fitzpatrick pass complete short left to Andre Johnson for 20 yards (tackle by Tarell Brown),1.500,3.640
3,5:20,1,10,OAK 29,24,0,Arian Foster right tackle for 4 yards (tackle by Tyvon Branch),3.640,3.640
3,4:42,2,6,OAK 25,24,0,Arian Foster right guard for 1 yard (tackle by Tyvon Branch),3.640,3.070
3,4:02,3,5,OAK 24,24,0,Ryan Fitzpatrick pass complete short middle to DeAndre Hopkins for 3 yards (tackle by Khalil Mack),3.070,2.180
3,3:17,4,2,OAK 21,27,0,Randy Bullock 39 yard field goal good,2.180,3.000
3,3:17,,,HOU 35,27,0,"Randy Bullock kicks off 73 yards, returned by Latavius Murray for 29 yards (tackle by Elbert Mack)",0.000,-0.340
3,3:09,1,10,OAK 21,27,0,Derek Carr pass complete short right to Darren McFadden for 23 yards (tackle by Danieal Manning),0.340,1.860
3,2:28,1,10,OAK 44,27,0,Darren McFadden left tackle for 3 yards (tackle by Brian Cushing),1.860,1.720
3,1:53,2,7,OAK 47,27,0,Derek Carr pass complete short middle to Mychal Rivera for 10 yards (tackle by D.J. Swearinger),1.720,2.720
3,1:18,1,10,HOU 43,27,0,Derek Carr pass complete short left to Denarius Moore for 6 yards (tackle by Justin Tuggle),2.720,2.990
3,0:51,2,4,HOU 37,27,0,Derek Carr pass complete short right to Brice Butler for -2 yards (tackle by Danieal Manning),2.990,2.010
3,0:14,3,6,HOU 39,27,0,Derek Carr pass complete short left to Mychal Rivera for 5 yards (tackle by Darryl Morris),2.010,1.100
,,,,,,,"OAK challenged the first down ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,HOU 34,27,0,Derek Carr up the middle for 2 yards,1.100,3.450
4,14:23,1,10,HOU 32,27,0,Derek Carr pass incomplete short left intended for Denarius Moore,3.450,2.900
4,14:18,2,10,HOU 32,27,0,"Derek Carr pass incomplete deep middle intended for Denarius Moore. Penalty on A.J. Bouye: Defensive Pass Interference, 31 yards (no play)",2.900,6.970
4,14:12,1,1,HOU 1,27,6,"Darren McFadden left end for 1 yard, touchdown. Penalty on Brooks Reed: Defensive Offside (Declined)",6.970,7.000
4,14:12,,,HOU 2,27,7,Sebastian Janikowski kicks extra point good,0.000,0.000
4,14:12,,,OAK 35,27,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
4,14:07,1,10,HOU 20,27,7,Arian Foster right guard for 4 yards (tackle by Kaluka Maiava),0.280,0.270
4,13:26,2,6,HOU 24,27,7,Arian Foster left guard for 12 yards (tackle by Charles Woodson),0.270,1.330
4,12:46,1,10,HOU 36,27,7,Arian Foster up the middle for 5 yards (tackle by Carlos Rogers and Tyvon Branch),1.330,1.470
4,12:08,2,5,HOU 41,27,7,Arian Foster right tackle for 6 yards (tackle by Miles Burris),1.470,2.060
4,11:23,1,10,HOU 47,27,7,Alfred Blue left tackle for 4 yards (tackle by Khalil Mack),2.060,2.060
4,10:39,2,6,OAK 49,27,7,Alfred Blue left tackle for 5 yards (tackle by Pat Sims),2.060,2.020
4,10:16,3,1,OAK 44,27,7,Alfred Blue left end for 11 yards (tackle by Charles Woodson),2.020,3.380
4,9:35,1,10,OAK 33,27,7,Alfred Blue right tackle for 2 yards (tackle by Justin Tuck and Kaluka Maiava),3.380,3.110
4,8:51,2,8,OAK 31,27,7,Alfred Blue right tackle for 7 yards (tackle by Charles Woodson),3.110,3.340
4,8:30,3,1,OAK 24,27,7,Alfred Blue right guard for 3 yards (tackle by Charles Woodson),3.340,4.170
4,7:43,1,10,OAK 21,27,7,"Ryan Fitzpatrick left end for -1 yards (tackle by Justin Tuck). Penalty on Duane Brown: Chop Block, 15 yards (no play)",4.170,3.180
4,6:58,1,25,OAK 36,27,7,Jonathan Grimes right tackle for 1 yard (tackle by Pat Sims),3.180,1.740
4,6:17,2,24,OAK 35,27,7,Alfred Blue up the middle for no gain (tackle by Khalil Mack),1.740,1.090
4,5:34,3,24,OAK 35,27,7,Jonathan Grimes left guard for 7 yards (tackle by Tyvon Branch),1.090,1.590
4,4:51,4,17,OAK 28,30,7,Randy Bullock 46 yard field goal good,1.590,3.000
4,4:51,,,HOU 35,30,7,"Randy Bullock kicks off 72 yards, returned by Latavius Murray for 25 yards (tackle by Darryl Morris)",0.000,-0.040
4,4:37,1,10,OAK 18,30,7,Derek Carr pass complete short middle to Mychal Rivera for 6 yards (tackle by Brian Cushing),0.040,0.410
4,4:20,2,4,OAK 24,30,7,Derek Carr pass incomplete deep left intended for Andre Holmes,0.410,-0.400
4,4:16,3,4,OAK 24,30,7,Derek Carr pass incomplete short left intended for Darren McFadden is intercepted by Brooks Reed at OAK-16 and returned for 5 yards,-0.400,-4.840
4,4:09,1,10,OAK 11,30,7,Ronnie Brown up the middle for 2 yards (tackle by Pat Sims),4.840,4.510
4,3:26,2,8,OAK 9,30,7,Ronnie Brown left end for 1 yard (tackle by Carlos Rogers),4.510,3.760
4,2:42,3,7,OAK 8,30,7,Ronnie Brown left guard for -1 yards (tackle by Khalil Mack),3.760,2.830
4,2:02,4,8,OAK 9,30,7,"Randy Bullock 27 yard field goal no good, blocked by Justin Tuck, recovered by Shane Lechler",2.830,0.060
4,1:55,1,10,OAK 17,30,7,Derek Carr pass complete short right to Andre Holmes for 12 yards (tackle by A.J. Bouye),-0.060,0.870
4,1:38,1,10,OAK 29,30,7,Latavius Murray right tackle for 6 yards (tackle by Jason Ankrah),0.870,1.140
4,1:10,2,4,OAK 35,30,7,Derek Carr pass complete short right to Andre Holmes for 15 yards (tackle by A.J. Bouye),1.140,2.260
4,1:05,1,10,,30,7,Derek Carr pass incomplete short middle intended for Denarius Moore,2.260,1.710
4,1:00,2,10,,30,7,Derek Carr pass incomplete short left intended for James Jones (defended by Jared Crick),1.710,1.030
4,0:56,3,10,,30,7,Derek Carr for 12 yards,1.030,3.050
4,0:49,1,10,HOU 38,30,7,Derek Carr pass complete short right to Andre Holmes for 6 yards (tackle by A.J. Bouye),3.050,3.320
4,0:44,2,4,HOU 32,30,7,Derek Carr pass complete short left to Denarius Moore for 12 yards (tackle by Darryl Morris),3.320,3.320
4,0:38,2,4,HOU 32,30,7,Timeout #2 by Oakland Raiders,3.320,4.240
4,0:38,1,10,HOU 20,30,7,Derek Carr pass incomplete short middle intended for James Jones (defended by Andre Hal),4.240,3.690
4,0:33,2,10,HOU 20,30,7,Derek Carr pass incomplete short left intended for Brice Butler,3.690,3.010
4,0:30,3,10,HOU 20,30,7,Derek Carr pass complete short right to Andre Holmes for 5 yards (tackle by A.J. Bouye),3.010,2.490
4,0:26,4,5,HOU 15,30,7,"Penalty on Derek Carr: Delay of Game, 5 yards (no play)",2.490,2.120
4,0:26,4,10,HOU 20,30,7,Derek Carr pass complete short right to James Jones for 11 yards (tackle by A.J. Bouye),2.120,2.120
4,0:18,4,10,HOU 20,30,7,Timeout #3 by Oakland Raiders,2.120,5.140
4,0:17,1,9,HOU 9,30,13,"Derek Carr pass complete short left to James Jones for 9 yards, touchdown",5.140,7.000
4,0:17,,,HOU 2,30,14,Sebastian Janikowski kicks extra point good,0.000,0.000
4,0:17,,,OAK 35,30,14,"Sebastian Janikowski kicks onside 11 yards. Penalty on Benson Mayowa: Offside on Free Kick (Offsetting), Penalty on Justin Tuggle: Offside on Free Kick (Offsetting) (no play)",0.000,0.000
4,0:17,,,OAK 35,30,14,"Sebastian Janikowski kicks onside 21 yards, recovered by Keshawn Martin",0.000,-1.860
4,0:13,1,10,HOU 44,30,14,Ryan Mallett kneels for -1 yards,1.860,1.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
