Unnamed: 0,HOU,OAK
First Downs,17,17
Rush-Yds-TDs,22-90-1,34-139-0
Cmp-Att-Yd-TD-INT,19-36-255-0-1,18-25-236-2-0
Sacked-Yards,3-21,1-13
Net Pass Yards,234,223
Total Yards,324,362
Fumbles-Lost,2-0,2-1
Turnovers,1,1
Penalties-Yards,1-15,2-14
Third Down Conv.,3-13,7-14
Fourth Down Conv.,2-3,0-1
Time of Possession,28:31,31:29
