Quarter,Time,Tm,Detail,HOU,OAK
1.0,10:34,Raiders,Chaz Schilens 20 yard pass from JaMarcus Russell (Sebastian Janikowski kick),0,7
,7:59,Texans,Vonta Leach 1 yard rush (Kris Brown kick),7,7
,3:42,Raiders,Sebastian Janikowski 33 yard field goal,7,10
,0:05,Raiders,Sebastian Janikowski 30 yard field goal,7,13
2.0,6:11,Texans,Kris Brown 53 yard field goal,10,13
,0:38,Texans,Kris Brown 24 yard field goal,13,13
3.0,9:56,Raiders,Johnnie Lee Higgins 29 yard pass from JaMarcus Russell (Sebastian Janikowski kick),13,20
,5:44,Raiders,Johnnie Lee Higgins 80 yard punt return (Sebastian Janikowski kick),13,27
4.0,9:55,Texans,Kris Brown 40 yard field goal,16,27
