Unnamed: 0,ARI,PIT
First Downs,21,14
Rush-Yds-TDs,20-55-0,32-141-0
Cmp-Att-Yd-TD-INT,29-45-421-1-2,11-20-174-2-0
Sacked-Yards,1-7,1-5
Net Pass Yards,414,169
Total Yards,469,310
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,9-111,6-48
Third Down Conv.,5-12,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,31:09,28:51
