Quarter,Time,Tm,Detail,ARI,PIT
1.0,8:17,Cardinals,Michael Floyd 3 yard pass from Carson Palmer (Chandler Catanzaro kick),7,0
2.0,6:06,Steelers,Chris Boswell 47 yard field goal,7,3
,0:47,Cardinals,Chandler Catanzaro 31 yard field goal,10,3
3.0,11:14,Steelers,Chris Boswell 48 yard field goal,10,6
,8:45,Steelers,Martavis Bryant 8 yard pass from Landry Jones (pass failed),10,12
,2:32,Steelers,Chris Boswell 51 yard field goal,10,15
4.0,14:56,Cardinals,Chandler Catanzaro 39 yard field goal,13,15
,7:19,Steelers,Chris Boswell 28 yard field goal,13,18
,1:58,Steelers,Martavis Bryant 88 yard pass from Landry Jones (Chris Boswell kick),13,25
