Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,PIT 45,7,0,Chris Johnson right guard for -3 yards (tackle by Cameron Heyward),2.600,1.490
2,14:18,3,5,PIT 48,7,0,Carson Palmer pass incomplete deep middle intended for John Brown (defended by Antwon Blake),1.490,0.070
2,14:12,4,5,PIT 48,7,0,"Drew Butler punts 48 yards, touchback",0.070,-0.280
2,14:05,1,10,PIT 20,7,0,Le'Veon Bell right tackle for 9 yards (tackle by Kevin Minter),0.280,0.950
2,13:26,2,1,PIT 29,7,0,Le'Veon Bell middle for 5 yards (tackle by Kevin Minter and Tyrann Mathieu),0.950,1.200
2,12:47,1,10,PIT 34,7,0,Le'Veon Bell left tackle for -3 yards (tackle by Tyrann Mathieu and Deone Bucannon),1.200,0.250
2,12:24,2,13,PIT 31,7,0,Michael Vick pass incomplete deep left intended for Markus Wheaton (defended by Rashad Johnson),0.250,-0.430
2,12:16,3,13,PIT 31,7,0,Michael Vick middle for 12 yards (tackle by Jerraud Powers). Penalty on Markus Wheaton: Illegal Block Above the Waist (Declined),-0.430,-0.520
2,12:09,4,1,PIT 43,7,0,"Jordan Berry punts 41 yards, returned by Patrick Peterson for 17 yards (tackle by Will Johnson)",-0.520,-1.140
2,11:59,1,10,ARI 33,7,0,Chris Johnson right guard for 4 yards (tackle by Sean Spence),1.140,1.130
2,11:21,2,6,ARI 37,7,0,"Carson Palmer pass complete short middle to Larry Fitzgerald for 16 yards (tackle by Lawrence Timmons). Penalty on Chris Johnson: Chop Block, 15 yards (no play)",1.130,-0.890
2,10:58,2,21,ARI 22,7,0,Carson Palmer pass complete short left to Larry Fitzgerald for 44 yards (tackle by Antwon Blake),-0.890,3.310
2,10:07,1,10,PIT 34,7,0,Carson Palmer pass incomplete deep right intended for Jaron Brown,3.310,2.770
2,10:00,2,10,PIT 34,7,0,Carson Palmer pass complete short left to Chris Johnson for 5 yards (tackle by Robert Golden),2.770,2.740
2,9:28,3,5,PIT 29,7,0,Carson Palmer pass incomplete short right intended for Larry Fitzgerald (defended by William Gay),2.740,1.540
2,9:23,4,5,PIT 29,7,0,Chandler Catanzaro 47 yard field goal no good,1.540,-1.400
2,9:18,1,10,PIT 37,7,0,"Le'Veon Bell middle for 11 yards (tackle by Patrick Peterson). Penalty on Kevin Minter: Unnecessary Roughness, 15 yards",1.400,3.120
2,8:44,1,10,ARI 37,7,0,"Le'Veon Bell middle for -2 yards (tackle by Calais Campbell and Josh Mauro). Penalty on Cody Wallace: Offensive Holding, 10 yards (no play)",3.120,2.460
2,8:16,1,20,ARI 47,7,0,Le'Veon Bell middle for 4 yards (tackle by Frostee Rucker and Calais Campbell),2.460,1.760
2,7:36,2,16,ARI 43,7,0,"Michael Vick pass incomplete deep left intended for Antonio Brown is intercepted by Patrick Peterson at ARI-1. Penalty on Josh Mauro: Defensive Offside, 5 yards (no play)",1.760,2.440
2,7:28,2,11,ARI 38,7,0,Michael Vick left guard for 10 yards (tackle by Patrick Peterson),2.440,3.070
2,6:49,3,1,ARI 28,7,0,Le'Veon Bell right guard for -1 yards (tackle by Kevin Minter),3.070,1.600
2,6:11,4,2,ARI 29,7,3,Chris Boswell 47 yard field goal good,1.600,3.000
2,6:11,,,PIT 35,7,3,"Chris Boswell kicks off 69 yards, returned by David Johnson for 23 yards (tackle by Will Johnson)",0.000,-0.150
2,6:01,1,10,ARI 19,7,3,Carson Palmer pass incomplete deep left intended for Darren Fells (defended by Robert Golden),0.150,-0.390
2,5:55,2,10,ARI 19,7,3,Chris Johnson left guard for -2 yards (tackle by Cameron Heyward),-0.390,-1.420
2,5:10,3,12,ARI 17,7,3,Carson Palmer pass complete deep middle to Michael Floyd for 18 yards (tackle by Antwon Blake),-1.420,1.270
2,4:32,1,10,ARI 35,7,3,Chris Johnson left tackle for 3 yards (tackle by Robert Golden and James Harrison),1.270,1.130
2,3:55,2,7,ARI 38,7,3,Carson Palmer pass complete short left to Andre Ellington for 15 yards (tackle by Mike Mitchell),1.130,2.460
2,3:21,1,10,PIT 47,7,3,Carson Palmer pass complete short middle to Darren Fells for 9 yards (tackle by Vince Williams),2.460,3.130
2,2:38,2,1,PIT 38,7,3,Carson Palmer pass complete short left to Michael Floyd for 7 yards (tackle by Antwon Blake),3.130,3.510
2,2:01,1,10,PIT 31,7,3,Chris Johnson middle for 2 yards (tackle by Vince Williams),3.510,3.240
2,1:58,2,8,PIT 29,7,3,Carson Palmer pass complete deep left to Michael Floyd for 15 yards (tackle by Antwon Blake),3.240,4.650
2,1:51,1,10,PIT 14,7,3,Carson Palmer pass incomplete short left intended for John Brown,4.650,4.000
2,1:46,2,10,PIT 14,7,3,"Carson Palmer pass complete short left to Michael Floyd for 14 yards. Penalty on Michael Floyd: Offensive Pass Interference, 10 yards (no play)",4.000,4.000
2,1:40,2,10,PIT 14,7,3,Timeout #2 by Arizona Cardinals,4.000,2.740
2,1:40,2,20,PIT 24,7,3,Carson Palmer pass complete short right to Larry Fitzgerald for 11 yards (tackle by Robert Golden),2.740,3.260
2,0:57,3,9,PIT 13,7,3,Carson Palmer pass incomplete short middle intended for Michael Floyd (defended by Ross Cockrell),3.260,2.570
2,0:51,4,9,PIT 13,10,3,Chandler Catanzaro 31 yard field goal good,2.570,3.000
2,0:51,,,ARI 35,10,3,"Chandler Catanzaro kicks off 66 yards, returned by Dri Archer for 15 yards (tackle by Cariel Brooks)",0.000,0.280
2,0:43,1,10,PIT 14,10,3,Michael Vick pass complete short right to Martavis Bryant for 7 yards (tackle by Tyrann Mathieu and Frostee Rucker),-0.280,0.280
2,0:37,2,3,PIT 21,10,3,Michael Vick pass incomplete deep right intended for Antonio Brown,0.280,-0.560
2,0:30,3,3,PIT 21,10,3,Michael Vick pass incomplete deep left intended for Darrius Heyward-Bey,-0.560,-1.960
2,0:21,4,3,PIT 21,10,3,"Jordan Berry punts 79 yards, touchback",-1.960,-0.280
2,0:13,1,10,ARI 20,10,3,Carson Palmer kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,10,3,"Chandler Catanzaro kicks off 61 yards, returned by Dri Archer for 35 yards (tackle by Chandler Catanzaro)",0.000,-1.530
3,14:52,1,10,PIT 39,10,3,Martavis Bryant left end for 8 yards (tackle by Tony Jefferson),1.530,2.070
3,14:18,2,2,PIT 47,10,3,Le'Veon Bell left end for 9 yards (tackle by Deone Bucannon),2.070,2.650
3,13:35,1,10,ARI 44,10,3,Michael Vick left tackle for 10 yards (tackle by Rodney Gunter),2.650,3.310
3,12:50,1,10,ARI 34,10,3,Le'Veon Bell middle for -3 yards (tackle by Ed Stinson),3.310,2.370
3,12:09,2,13,ARI 37,10,3,Michael Vick left end for 7 yards (tackle by Tony Jefferson),2.370,2.370
3,11:25,2,13,ARI 37,10,3,Timeout #1 by Pittsburgh Steelers,2.370,2.610
3,11:25,3,6,ARI 30,10,3,Michael Vick pass incomplete deep right intended for Martavis Bryant,2.610,1.430
3,11:17,4,6,ARI 30,10,6,Chris Boswell 48 yard field goal good,1.430,3.000
3,11:17,,,PIT 35,10,6,"Chris Boswell kicks off 70 yards, returned by David Johnson for 28 yards (tackle by Jordan Todman)",0.000,-0.480
3,11:09,1,10,ARI 23,10,6,Chris Johnson left tackle for 4 yards (tackle by Robert Golden),0.480,0.470
3,10:30,2,6,ARI 27,10,6,"Carson Palmer pass complete short left to John Brown for 5 yards (tackle by James Harrison and Antwon Blake). John Brown fumbles (forced by James Harrison), recovered by Mike Mitchell at ARI-32 (tackle by John Brown)",0.470,-3.450
3,10:21,1,10,ARI 32,10,6,Le'Veon Bell right guard for 22 yards (tackle by Patrick Peterson),3.450,4.910
3,9:36,1,10,ARI 10,10,6,Le'Veon Bell left tackle for 2 yards (tackle by Deone Bucannon),4.910,4.570
3,8:55,2,8,ARI 8,10,6,Landry Jones pass incomplete short right intended for Martavis Bryant,4.570,3.580
3,8:51,3,8,ARI 8,10,12,"Landry Jones pass complete short right to Martavis Bryant for 8 yards, touchdown",3.580,7.000
3,8:51,3,,ARI 8,10,12,"Two Point Attempt: Landry Jones pass incomplete intended for Antonio Brown, conversion fails",3.580,-1.000
3,8:51,,,PIT 35,10,12,"Chris Boswell kicks off 67 yards, returned by David Johnson for 32 yards (tackle by Terence Garvin)",0.000,-0.940
3,8:39,1,10,ARI 30,10,12,Carson Palmer pass complete short right to John Brown for 11 yards (tackle by Ross Cockrell),0.940,1.660
3,8:00,1,10,ARI 41,10,12,Chris Johnson left tackle for 2 yards (tackle by Robert Golden),1.660,1.390
3,7:22,2,8,ARI 43,10,12,"Carson Palmer middle for 4 yards (tackle by William Gay). Penalty on Jonathan Cooper: Offensive Holding, 11 yards (no play)",1.390,-0.100
3,6:54,2,19,ARI 32,10,12,Carson Palmer pass incomplete short left intended for Michael Floyd,-0.100,-0.760
3,6:50,3,19,ARI 32,10,12,Carson Palmer sacked by James Harrison for -7 yards,-0.760,-1.700
3,6:20,4,26,ARI 25,10,12,"Drew Butler punts 47 yards. Penalty on Mike Leach: Illegal Use of Hands, 10 yards (no play)",-1.700,-2.440
3,6:07,4,36,ARI 15,10,12,"Drew Butler punts 44 yards, fair catch by Antonio Brown",-2.440,-1.660
3,6:00,1,10,PIT 41,10,12,Landry Jones pass incomplete deep middle intended for Antonio Brown,1.660,1.120
3,5:55,2,10,PIT 41,10,12,Le'Veon Bell right guard for 2 yards (tackle by Cory Redding),1.120,0.700
3,5:16,3,8,PIT 43,10,12,"Penalty on Darrius Heyward-Bey: False Start, 5 yards (no play)",0.700,0.040
3,4:54,3,13,PIT 38,10,12,Landry Jones pass complete deep middle to Martavis Bryant for 23 yards (tackle by Rashad Johnson),0.040,2.980
3,4:11,1,10,ARI 39,10,12,Le'Veon Bell right guard for -2 yards (tackle by Markus Golden and Tony Jefferson),2.980,2.170
3,3:28,2,12,ARI 41,10,12,Landry Jones pass complete short left to Markus Wheaton for 8 yards (tackle by Jerraud Powers),2.170,2.540
3,2:41,3,4,ARI 33,10,12,Landry Jones pass incomplete short middle intended for Antonio Brown,2.540,1.180
3,2:37,4,4,ARI 33,10,15,Chris Boswell 51 yard field goal good,1.180,3.000
3,2:37,,,PIT 35,10,15,"Chris Boswell kicks off 65 yards, returned by David Johnson for 18 yards (tackle by Shamarko Thomas)",0.000,-0.040
3,2:26,1,10,ARI 18,10,15,Carson Palmer pass complete short middle to Troy Niklas for 13 yards (tackle by Robert Golden),0.040,1.000
3,1:43,1,10,ARI 31,10,15,Carson Palmer pass complete deep left to John Brown for 42 yards (tackle by Antwon Blake),1.000,3.780
3,0:55,1,10,PIT 27,10,15,Carson Palmer pass incomplete deep left intended for Michael Floyd,3.780,3.230
3,0:48,2,10,PIT 27,10,15,Carson Palmer pass complete short middle to Larry Fitzgerald for 8 yards (tackle by William Gay and Bud Dupree),3.230,3.640
3,0:10,3,2,PIT 19,10,15,David Johnson right tackle for -2 yards (tackle by Arthur Moats),3.640,2.130
Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,4,PIT 21,13,15,Chandler Catanzaro 39 yard field goal good,2.130,3.000
4,,,,ARI 35,13,15,"Chandler Catanzaro kicks off 67 yards, returned by Dri Archer for 24 yards (tackle by Jerraud Powers)",,
4,14:51,1,10,PIT 22,13,15,Le'Veon Bell right guard for no gain (tackle by Frostee Rucker),0.410,-0.130
4,14:05,2,10,PIT 22,13,15,Landry Jones pass complete short middle to Martavis Bryant for 10 yards (tackle by Jerraud Powers),-0.130,1.070
4,13:24,1,10,PIT 32,13,15,Le'Veon Bell left tackle for 9 yards (tackle by Tyrann Mathieu),1.070,1.740
4,12:41,2,1,PIT 41,13,15,Landry Jones pass complete deep left to Antonio Brown for 23 yards (tackle by Patrick Peterson),1.740,3.180
4,12:14,1,10,ARI 36,13,15,Landry Jones pass complete short right to Antonio Brown for 3 yards (tackle by Patrick Peterson),3.180,3.040
4,11:36,2,7,ARI 33,13,15,Le'Veon Bell left tackle for 4 yards (tackle by Tyrann Mathieu),3.040,2.870
4,10:50,3,3,ARI 29,13,15,Landry Jones pass complete short middle to Heath Miller for 5 yards (tackle by Rashad Johnson),2.870,3.970
4,10:09,1,10,ARI 24,13,15,Le'Veon Bell right guard for 5 yards (tackle by Markus Golden and Deone Bucannon),3.970,4.120
4,9:25,2,5,ARI 19,13,15,Le'Veon Bell middle for 7 yards (tackle by Tony Jefferson and Jerraud Powers),4.120,4.780
4,8:44,1,10,ARI 12,13,15,Le'Veon Bell left guard for 4 yards (tackle by Calais Campbell),4.780,4.830
4,8:03,2,6,ARI 8,13,15,Landry Jones pass incomplete short left intended for Antonio Brown,4.830,3.930
4,7:59,3,6,ARI 8,13,15,Le'Veon Bell middle for -2 yards (tackle by Markus Golden),3.930,2.760
4,7:21,4,8,ARI 10,13,18,Chris Boswell 28 yard field goal good,2.760,3.000
4,7:21,,,PIT 35,13,18,"Chris Boswell kicks off 65 yards, muffed catch by David Johnson, recovered by David Johnson at ARZ-8, and returned for 13 yards",0.000,-0.340
4,7:13,1,10,ARI 21,13,18,David Johnson right tackle for 3 yards (tackle by Stephon Tuitt and William Gay),0.340,0.210
4,6:29,2,7,ARI 24,13,18,"Carson Palmer pass incomplete short right intended for Michael Floyd (defended by Ross Cockrell). Penalty on Ross Cockrell: Defensive Pass Interference, 11 yards (no play)",0.210,1.270
4,6:25,1,10,ARI 35,13,18,Carson Palmer pass complete short left to Larry Fitzgerald for 2 yards (tackle by Antwon Blake),1.270,0.990
4,5:47,2,8,ARI 37,13,18,"Carson Palmer pass incomplete deep right intended for John Brown. Penalty on Jared Veldheer: Offensive Holding (Offsetting), Penalty on Ross Cockrell: Defensive Pass Interference (Offsetting) (no play)",0.990,0.990
4,5:40,2,8,ARI 37,13,18,Carson Palmer pass complete short right to John Brown for 12 yards (tackle by Ross Cockrell),0.990,2.190
4,5:11,1,10,ARI 49,13,18,Carson Palmer pass complete short left to Larry Fitzgerald for 10 yards (tackle by Antwon Blake),2.190,2.850
4,4:28,1,10,PIT 41,13,18,Chris Johnson left tackle for 4 yards (tackle by Lawrence Timmons),2.850,2.850
4,3:46,2,6,PIT 37,13,18,Chris Johnson middle for -2 yards (tackle by William Gay),2.850,2.850
4,3:07,2,6,PIT 37,13,18,Timeout #2 by Pittsburgh Steelers,2.850,1.880
4,3:07,3,8,PIT 39,13,18,Carson Palmer pass complete deep middle to John Brown for 19 yards (tackle by Antwon Blake),1.880,4.240
4,2:25,1,10,PIT 20,13,18,"Carson Palmer pass incomplete deep middle intended for John Brown is intercepted by Mike Mitchell at PIT--3. Penalty on James Harrison: Unnecessary Roughness, 10 yards",4.240,0.380
4,2:20,1,10,PIT 10,13,18,Le'Veon Bell left tackle for 2 yards (tackle by Deone Bucannon),-0.380,-0.380
4,2:15,1,10,PIT 10,13,18,Timeout #1 by Arizona Cardinals,-0.380,-0.630
4,2:15,2,8,PIT 12,13,24,"Landry Jones pass complete short middle to Martavis Bryant for 88 yards, touchdown. Penalty on Calais Campbell: Roughing the Passer, 15 yards",-0.630,7.000
4,2:15,,,ARI 12,13,25,Chris Boswell kicks extra point good,0.000,0.000
4,2:15,,,PIT 50,13,25,"Chris Boswell kicks off 50 yards, touchback",0.000,-0.280
4,1:58,1,10,ARI 20,13,25,Carson Palmer pass complete short middle to John Brown for 15 yards (tackle by Lawrence Timmons),0.280,1.270
4,1:40,1,10,ARI 35,13,25,Carson Palmer pass complete short middle to David Johnson for 8 yards (tackle by William Gay and Lawrence Timmons),1.270,1.800
4,1:20,2,2,ARI 43,13,25,Carson Palmer pass complete deep middle to John Brown for 20 yards (tackle by Ross Cockrell),1.800,3.120
4,1:20,1,10,PIT 37,13,25,"Penalty on Arthur Moats: Defensive 12 On-field, 5 yards (no play)",3.120,3.850
4,1:04,1,5,PIT 32,13,25,Carson Palmer pass complete short left to Larry Fitzgerald for 4 yards (tackle by Lawrence Timmons and Antwon Blake),3.850,3.790
4,0:48,2,1,PIT 28,13,25,Carson Palmer pass complete short middle to John Brown for 12 yards (tackle by Sean Spence),3.790,4.510
4,0:35,1,10,PIT 16,13,25,Carson Palmer spiked the ball,4.510,4.510
4,0:35,1,10,PIT 16,13,25,Timeout #3 by Pittsburgh Steelers,4.510,3.900
4,0:35,2,10,PIT 16,13,25,Carson Palmer pass incomplete deep middle intended for John Brown,3.900,3.080
4,0:28,3,10,PIT 16,13,25,Carson Palmer pass complete short left to Michael Floyd for 7 yards (tackle by Vince Williams),3.080,3.080
4,0:21,3,10,PIT 16,13,25,Timeout #2 by Arizona Cardinals,3.080,2.930
4,0:21,4,3,PIT 9,13,25,Carson Palmer pass incomplete short right intended for Jaron Brown,2.930,0.380
4,0:13,1,10,PIT 9,13,25,Landry Jones kneels for -1 yards,-0.380,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
