Unnamed: 0,PHI,DAL
First Downs,25,25
Rush-Yds-TDs,29-87-1,31-115-1
Cmp-Att-Yd-TD-INT,24-40-355-2-2,27-35-347-3-1
Sacked-Yards,0-0,6-43
Net Pass Yards,355,304
Total Yards,442,419
Fumbles-Lost,3-2,1-0
Turnovers,4,1
Penalties-Yards,2-10,4-36
Third Down Conv.,8-14,8-15
Fourth Down Conv.,2-3,1-1
Time of Possession,27:42,32:18
