Quarter,Time,Tm,Detail,PHI,DAL
1.0,11:16,Eagles,Jake Elliott 25 yard field goal,3,0
,9:18,Eagles,Josh Sweat 42 yard interception return (Jake Elliott kick),10,0
,1:52,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),10,7
2.0,11:34,Cowboys,CeeDee Lamb 36 yard pass from Dak Prescott (Brett Maher kick),10,14
,7:08,Eagles,Gardner Minshew II 1 yard rush (Jake Elliott kick),17,14
,1:49,Cowboys,Brett Maher 21 yard field goal,17,17
,0:06,Eagles,Jake Elliott 47 yard field goal,20,17
3.0,9:00,Eagles,DeVonta Smith 14 yard pass from Gardner Minshew II (Jake Elliott kick),27,17
,5:01,Cowboys,Brett Maher 44 yard field goal,27,20
,2:12,Cowboys,Michael Gallup 12 yard pass from Dak Prescott (Brett Maher kick),27,27
4.0,9:59,Eagles,DeVonta Smith 9 yard pass from Gardner Minshew II (Jake Elliott kick),34,27
,5:49,Cowboys,CeeDee Lamb 7 yard pass from Dak Prescott (Brett Maher kick),34,34
,2:19,Cowboys,Brett Maher 48 yard field goal,34,37
,1:41,Cowboys,Brett Maher 26 yard field goal,34,40
