Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Martin Gramatica kicks off 55 yards, returned by Chris Baker for 11 yards (tackle by Freddy Keiaho)",0.000,0.670
1,14:55,1,10,NYJ 26,0,0,"Chad Pennington pass incomplete short right intended for Laveranues Coles. Penalty on Robert Mathis: Defensive Offside, 5 yards (no play)",0.670,1.400
1,14:46,1,5,NYJ 31,0,0,Kevan Barlow left tackle for 8 yards (tackle by Cato June and Antoine Bethea),1.400,1.530
1,14:09,1,10,NYJ 39,0,0,"Chad Pennington sacked by Robert Mathis for -8 yards. Chad Pennington fumbles (forced by Robert Mathis), recovered by Josh Thomas at NYJ-26 (tackle by Anthony Clement)",1.530,-3.840
1,14:02,1,10,NYJ 26,0,0,Peyton Manning pass complete short left to Ben Utecht for 9 yards (tackle by Justin Miller and Victor Hobson),3.840,4.640
1,13:30,2,1,NYJ 17,0,0,Dominic Rhodes right end for 6 yards (tackle by Eric Barton and Jonathan Vilma),4.640,4.840
1,13:03,1,10,NYJ 11,0,0,Dominic Rhodes left tackle for 5 yards,4.840,5.080
1,12:32,2,5,NYJ 6,6,0,"Dominic Rhodes right tackle for 6 yards, touchdown",5.080,7.000
1,,,,NYJ 2,7,0,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Martin Gramatica kicks off 70 yards, returned by Justin Miller for 25 yards (tackle by Ryan LaCasse)",0.000,0.610
1,12:22,1,10,NYJ 25,7,0,Leon Washington right end for -1 yards (tackle by Gilbert Gardner),0.610,-0.070
1,11:59,2,11,NYJ 24,7,0,Kevan Barlow left end for no gain (tackle by Gary Brackett),-0.070,-0.760
1,11:16,3,11,NYJ 24,7,0,Chad Pennington pass complete short left to Brad Smith for -1 yards (tackle by Cato June),-0.760,-1.830
1,10:47,4,12,NYJ 23,7,0,"Ben Graham punts 47 yards, returned by Terrence Wilkins for 10 yards (tackle by Brad Smith)",-1.830,-1.600
1,10:36,1,10,IND 40,7,0,Dominic Rhodes left tackle for 8 yards (tackle by Eric Barton),1.600,2.130
1,10:10,2,2,IND 48,7,0,Dominic Rhodes left end for 3 yards (tackle by Justin Miller and Eric Barton),2.130,2.320
1,9:33,1,10,NYJ 49,7,0,Peyton Manning sacked by Shaun Ellis for -12 yards,2.320,0.160
1,8:56,2,22,IND 39,7,0,Dominic Rhodes left guard for 7 yards (tackle by Victor Hobson),0.160,0.430
1,8:15,3,15,IND 46,7,0,Peyton Manning pass incomplete short right intended for Reggie Wayne,0.430,-0.320
1,8:15,4,15,IND 46,7,0,"Hunter Smith punts 54 yards, touchback. Penalty on Justin Snow: Offensive Holding, 10 yards",-0.320,-0.940
1,8:01,1,10,NYJ 30,7,0,Kevan Barlow right guard for no gain (tackle by Darrell Reid),0.940,0.390
1,7:20,2,10,NYJ 30,7,0,Kevan Barlow left end for no gain (tackle by Gary Brackett),0.390,-0.300
1,6:36,3,10,NYJ 30,7,0,Chad Pennington sacked by Montae Reagor for -5 yards,-0.300,-1.700
1,6:10,4,15,NYJ 25,7,0,"Ben Graham punts 41 yards, returned by Terrence Wilkins for 1 yard (tackle by Eric Smith)",-1.700,-1.270
1,6:01,1,10,IND 35,7,0,Joseph Addai right tackle for 8 yards (tackle by Jonathan Vilma and Erik Coleman),1.270,1.800
1,5:36,2,2,IND 43,7,0,Joseph Addai left end for 7 yards (tackle by Jonathan Vilma),1.800,2.260
1,5:07,1,10,NYJ 50,7,0,Joseph Addai right guard for 2 yards (tackle by Dewayne Robertson),2.260,1.980
1,4:38,2,8,NYJ 48,7,0,Joseph Addai left end for 4 yards (tackle by Justin Miller),1.980,1.820
1,3:55,3,4,NYJ 44,7,0,"Penalty on Ryan Diem: False Start, 5 yards (no play)",1.820,1.160
1,3:28,,,,7,0,Timeout #1 by Indianapolis Colts,0.000,1.160
1,3:28,3,9,NYJ 49,7,0,Peyton Manning pass incomplete short middle intended for Joseph Addai,1.160,0.000
1,3:19,4,9,NYJ 49,7,0,Hunter Smith punts 45 yards,0.000,0.380
1,3:12,1,10,NYJ 4,7,0,Kevan Barlow middle for 2 yards (tackle by Cato June and Gilbert Gardner),-0.380,-0.630
1,2:28,2,8,NYJ 6,7,0,Chad Pennington pass complete short left to Chris Baker for 6 yards (tackle by Jason David and Cato June),-0.630,-0.480
1,1:47,3,2,NYJ 12,7,0,Brad Smith right end for 8 yards (tackle by Antoine Bethea and Kelvin Hayden),-0.480,0.280
