Unnamed: 0,IND,NYJ
First Downs,26,23
Rush-Yds-TDs,36-160-3,37-135-2
Cmp-Att-Yd-TD-INT,21-30-217-1-0,17-23-207-1-1
Sacked-Yards,2-25,3-21
Net Pass Yards,192,186
Total Yards,352,321
Fumbles-Lost,0-0,4-2
Turnovers,0,3
Penalties-Yards,10-64,5-47
Third Down Conv.,7-12,7-13
Fourth Down Conv.,0-0,1-2
Time of Possession,28:03,31:57
