Quarter,Time,Tm,Detail,KAN,PIT
1.0,9:15,Steelers,Shaun Suisham 23 yard field goal,0,3
,2:06,Chiefs,Cairo Santos 35 yard field goal,3,3
2.0,9:25,Chiefs,Cairo Santos 25 yard field goal,6,3
,4:18,Steelers,Le'Veon Bell 1 yard rush (Shaun Suisham kick),6,10
3.0,0:34,Steelers,Antonio Brown 3 yard pass from Ben Roethlisberger (Shaun Suisham kick),6,17
4.0,10:18,Chiefs,Cairo Santos 43 yard field goal,9,17
,4:04,Steelers,Shaun Suisham 23 yard field goal,9,20
,1:37,Chiefs,Cairo Santos 23 yard field goal,12,20
