Quarter,Time,Tm,Detail,BUF,MIA
1.0,13:27,Bills,Nickell Robey-Coleman 19 yard interception return (Dan Carpenter kick),7,0
,5:47,Bills,Fred Jackson 3 yard rush (Dan Carpenter kick),14,0
2.0,10:59,Dolphins,Charles Clay 7 yard pass from Ryan Tannehill (Caleb Sturgis kick),14,7
,3:14,Bills,Dan Carpenter 39 yard field goal,17,7
,0:21,Dolphins,Brandon Gibson 13 yard pass from Ryan Tannehill (Caleb Sturgis kick),17,14
3.0,6:46,Dolphins,Brandon Gibson 4 yard pass from Ryan Tannehill (Caleb Sturgis kick),17,21
4.0,14:16,Bills,Dan Carpenter 20 yard field goal,20,21
,0:33,Bills,Dan Carpenter 31 yard field goal,23,21
