Unnamed: 0,BUF,MIA
First Downs,15,19
Rush-Yds-TDs,30-90-1,25-120-0
Cmp-Att-Yd-TD-INT,21-32-202-0-1,19-37-194-3-2
Sacked-Yards,4-24,2-21
Net Pass Yards,178,173
Total Yards,268,293
Fumbles-Lost,2-0,1-1
Turnovers,1,3
Penalties-Yards,6-53,4-32
Third Down Conv.,9-19,3-13
Fourth Down Conv.,0-0,0-1
Time of Possession,30:12,29:48
