Quarter,Time,Tm,Detail,SFO,WAS
1.0,10:14,Redskins,Josh Doctson 11 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
2.0,9:47,Redskins,Samaje Perine 3 yard pass from Kirk Cousins (Dustin Hopkins kick),0,14
,1:51,Redskins,Dustin Hopkins 48 yard field goal,0,17
,0:00,49ers,Carlos Hyde 1 yard rush (Robbie Gould kick),7,17
3.0,9:41,49ers,Robbie Gould 52 yard field goal,10,17
,3:01,49ers,Carlos Hyde 1 yard rush (Robbie Gould kick),17,17
4.0,10:34,Redskins,Dustin Hopkins 21 yard field goal,17,20
,3:28,Redskins,Kirk Cousins 7 yard rush (Dustin Hopkins kick failed),17,26
,1:58,49ers,Aldrick Robinson 45 yard pass from C.J. Beathard (Robbie Gould kick),24,26
