Unnamed: 0,SFO,WAS
First Downs,21,25
Rush-Yds-TDs,20-85-2,33-94-1
Cmp-Att-Yd-TD-INT,23-47-279-1-1,25-37-330-2-1
Sacked-Yards,3-29,1-5
Net Pass Yards,250,325
Total Yards,335,419
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-40,5-43
Third Down Conv.,6-17,7-14
Fourth Down Conv.,1-2,0-0
Time of Possession,23:08,36:52
