Quarter,Time,Tm,Detail,NYJ,LVR
1.0,10:13,Jets,Greg Zuerlein 47 yard field goal,3,0
,6:15,Raiders,Daniel Carlson 41 yard field goal,3,3
,1:11,Jets,Greg Zuerlein 53 yard field goal,6,3
2.0,11:48,Jets,Greg Zuerlein 30 yard field goal,9,3
,0:00,Raiders,Daniel Carlson 54 yard field goal,9,6
3.0,2:36,Raiders,Daniel Carlson 40 yard field goal,9,9
4.0,14:10,Raiders,Michael Mayer 7 yard pass from Aidan O'Connell (Daniel Carlson kick),9,16
,11:58,Jets,Greg Zuerlein 45 yard field goal,12,16
