Unnamed: 0,NYJ,LVR
First Downs,14,15
Rush-Yds-TDs,21-108-0,32-148-0
Cmp-Att-Yd-TD-INT,23-40-263-0-1,16-27-153-1-1
Sacked-Yards,2-6,3-27
Net Pass Yards,257,126
Total Yards,365,274
Fumbles-Lost,1-0,3-1
Turnovers,1,2
Penalties-Yards,8-83,3-25
Third Down Conv.,7-16,5-15
Fourth Down Conv.,0-0,2-2
Time of Possession,29:42,30:18
