Unnamed: 0,DAL,PIT
First Downs,15,13
Rush-Yds-TDs,26-95-0,26-70-0
Cmp-Att-Yd-TD-INT,19-36-210-1-3,17-33-204-1-0
Sacked-Yards,3-16,5-36
Net Pass Yards,194,168
Total Yards,289,238
Fumbles-Lost,3-2,2-2
Turnovers,5,2
Penalties-Yards,5-24,2-10
Third Down Conv.,3-14,3-16
Fourth Down Conv.,0-3,1-2
Time of Possession,30:30,29:30
