Unnamed: 0,TAM,CAR
First Downs,20,20
Rush-Yds-TDs,37-113-0,25-136-2
Cmp-Att-Yd-TD-INT,18-30-219-1-0,18-28-278-0-2
Sacked-Yards,2-17,0-0
Net Pass Yards,202,278
Total Yards,315,414
Fumbles-Lost,1-0,2-2
Turnovers,0,4
Penalties-Yards,5-40,7-60
Third Down Conv.,6-15,1-8
Fourth Down Conv.,0-0,1-1
Time of Possession,34:09,25:51
