Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TAM 25,0,0,Jacquizz Rodgers middle for -3 yards (tackle by Kawann Short and Charles Johnson),0.610,-0.340
1,14:26,2,13,TAM 22,0,0,Jacquizz Rodgers middle for 9 yards (tackle by Luke Kuechly and Charles Johnson),-0.340,0.170
1,13:49,3,4,TAM 31,0,0,Jacquizz Rodgers left end for 5 yards (tackle by Luke Kuechly),0.170,1.330
1,13:11,1,10,TAM 36,0,0,Jacquizz Rodgers right tackle for 2 yards (tackle by Kawann Short),1.330,1.060
1,12:33,2,8,TAM 38,0,0,Jacquizz Rodgers middle for 5 yards (tackle by Shaq Thompson and Luke Kuechly),1.060,1.030
1,11:56,3,3,TAM 43,0,0,Jacquizz Rodgers left guard for 5 yards (tackle by Kurt Coleman),1.030,2.130
1,11:17,1,10,TAM 48,0,0,Jameis Winston pass complete short left to Alan Cross for 5 yards (tackle by Shaq Thompson),2.130,2.260
1,10:40,2,5,CAR 47,0,0,Jacquizz Rodgers middle for no gain (tackle by Paul Soliai),2.260,1.550
1,9:56,3,5,CAR 47,0,0,Jameis Winston pass complete short right to Vincent Jackson for 17 yards (tackle by Kurt Coleman),1.550,3.580
1,9:18,1,10,CAR 30,0,0,Jacquizz Rodgers left guard for 6 yards (tackle by Kyle Love),3.580,3.840
1,8:42,2,4,CAR 24,0,0,Jacquizz Rodgers right tackle for 7 yards (tackle by Robert McClain),3.840,4.440
1,7:55,1,10,CAR 17,0,0,Jacquizz Rodgers left tackle for -1 yards (tackle by Luke Kuechly and Kyle Love),4.440,3.720
1,7:16,2,11,CAR 18,0,0,Jameis Winston pass complete short middle to Jacquizz Rodgers for 1 yard (tackle by Charles Johnson),3.720,3.070
1,6:38,3,10,CAR 17,0,0,Jameis Winston pass incomplete short left intended for Mike Evans,3.070,2.310
1,6:32,4,10,CAR 17,3,0,Roberto Aguayo 35 yard field goal good,2.310,3.000
1,6:32,,,TAM 35,3,0,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
1,6:28,1,10,CAR 25,3,0,Cameron Artis-Payne middle for 7 yards (tackle by Channing Ward and Bradley McDougald),0.610,1.010
1,5:58,2,3,CAR 32,3,0,Cameron Artis-Payne middle for 2 yards (tackle by Daryl Smith and Channing Ward),1.010,0.560
1,5:22,3,1,CAR 34,3,0,Cameron Artis-Payne left guard for no gain (tackle by Keith Tandy),0.560,-1.110
1,4:47,4,1,CAR 34,3,0,"Andy Lee punts 38 yards, fair catch by Adam Humphries",-1.110,-0.810
1,4:39,1,10,TAM 28,3,0,Jacquizz Rodgers left guard for 11 yards (tackle by Michael Griffin and Kurt Coleman),0.810,1.530
1,4:02,1,10,TAM 39,3,0,Jacquizz Rodgers right guard for 3 yards (tackle by Daryl Worley and Shaq Thompson),1.530,1.390
1,3:26,2,7,TAM 42,3,0,Jacquizz Rodgers middle for 13 yards (tackle by Kurt Coleman),1.390,2.590
1,2:48,1,10,CAR 45,3,0,"Jameis Winston pass complete deep left to Vincent Jackson for 26 yards (tackle by Michael Griffin). Penalty on Demar Dotson: Offensive Holding, 10 yards (no play)",2.590,1.930
1,2:26,1,20,TAM 45,3,0,Peyton Barber middle for 3 yards (tackle by Thomas Davis and Tre Boston),1.930,1.100
1,1:42,2,17,TAM 48,3,0,"Jameis Winston pass incomplete deep right intended for Mike Evans. Penalty on Lavar Edwards: Defensive Offside, 5 yards (no play)",1.100,1.770
1,1:34,2,12,CAR 47,3,0,Jameis Winston pass complete short left to Adam Humphries for 11 yards (tackle by Shaq Thompson),1.770,2.540
1,0:53,3,1,CAR 36,3,0,"Penalty on Ali Marpet: False Start, 5 yards (no play)",2.540,1.880
1,0:26,3,6,CAR 41,3,0,Jameis Winston sacked by Kyle Love and Robert McClain for -8 yards,1.880,0.000
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,14,CAR 49,3,0,"Bryan Anger punts 39 yards, fair catch by Ted Ginn",0.000,0.380
2,14:52,1,10,CAR 10,3,0,Derek Anderson pass complete short left to Kelvin Benjamin for 7 yards (tackle by Bradley McDougald),-0.380,-0.090
2,14:21,2,3,CAR 17,3,0,Derek Anderson pass complete short left to Greg Olsen for 8 yards (tackle by Vernon Hargreaves),-0.090,0.610
2,13:45,1,10,CAR 25,3,0,Fozzy Whittaker right tackle for 2 yards (tackle by DaVonte Lambert and Akeem Spence),0.610,0.330
2,13:06,2,8,CAR 27,3,0,Derek Anderson pass complete short middle to Greg Olsen for 10 yards (tackle by Bradley McDougald),0.330,1.400
2,12:29,1,10,CAR 37,3,0,Derek Anderson pass complete short left to Kelvin Benjamin for 15 yards (tackle by Vernon Hargreaves),1.400,2.390
2,11:56,1,10,TAM 48,3,0,Cameron Artis-Payne middle for 4 yards (tackle by Lavonte David and John Hughes),2.390,2.390
2,11:20,2,6,TAM 44,3,0,Cameron Artis-Payne middle for no gain (tackle by William Gholston),2.390,1.690
2,10:37,3,6,TAM 44,3,0,Derek Anderson pass incomplete deep left intended for Corey Brown,1.690,0.330
2,10:30,4,6,TAM 44,3,0,"Andy Lee punts 44 yards, touchback",0.330,-0.280
2,10:23,1,10,TAM 20,3,0,Peyton Barber middle for 1 yard (tackle by Kony Ealy),0.280,-0.130
2,9:50,2,9,TAM 21,3,0,Peyton Barber right end for 2 yards (tackle by Paul Soliai and Kawann Short),-0.130,-0.560
2,9:09,3,7,TAM 23,3,0,Jameis Winston pass incomplete short right intended for Vincent Jackson (defended by Teddy Williams),-0.560,-1.830
2,9:03,4,7,TAM 23,3,0,"Bryan Anger punts 48 yards, muffed catch by Ted Ginn, recovered by Russell Shepard and returned for no gain",-1.830,3.580
2,8:52,1,10,CAR 30,3,0,Jacquizz Rodgers middle for 4 yards (tackle by Michael Griffin),3.580,3.570
2,8:17,2,6,CAR 26,3,0,Jameis Winston pass complete short right to Brandon Myers for 12 yards (tackle by Robert McClain),3.570,4.650
2,7:37,1,10,CAR 14,3,0,Jacquizz Rodgers left guard for -2 yards (tackle by Lavar Edwards),4.650,3.720
2,7:01,2,12,CAR 16,3,0,Jameis Winston pass complete short middle to Jacquizz Rodgers for 11 yards (tackle by Thomas Davis),3.720,4.960
2,7:01,3,1,CAR 5,3,0,"Penalty on Gosder Cherilus: False Start, 5 yards (no play)",4.960,3.820
2,5:48,3,6,CAR 10,3,0,"Penalty on Jameis Winston: Delay of Game, 5 yards (no play)",3.820,3.820
2,5:29,3,6,CAR 10,3,0,Timeout #1 by Tampa Bay Buccaneers,3.820,3.060
2,5:29,3,11,CAR 15,3,0,Jameis Winston pass incomplete short right intended for Vincent Jackson,3.060,2.440
2,5:24,4,11,CAR 15,3,0,Roberto Aguayo 33 yard field goal no good,2.440,-0.480
2,5:19,1,10,CAR 23,3,0,Derek Anderson pass complete deep left to Kelvin Benjamin for 17 yards (tackle by Bradley McDougald),0.480,1.600
2,4:47,1,10,CAR 40,3,0,Fozzy Whittaker left guard for 7 yards (tackle by Chris Conte),1.600,2.000
2,4:15,2,3,CAR 47,3,0,Derek Anderson pass incomplete short left intended for Kelvin Benjamin is intercepted by Daryl Smith at TAM-47 and returned for -5 yards,2.000,-1.730
2,4:05,1,10,TAM 42,3,0,Jameis Winston pass complete short left to Jacquizz Rodgers for 4 yards (tackle by Luke Kuechly),1.730,1.730
2,3:31,2,6,TAM 46,3,0,Jacquizz Rodgers right tackle for 2 yards (tackle by Star Lotulelei and A.J. Klein),1.730,1.290
2,2:48,3,4,TAM 48,3,0,"Jameis Winston middle for 6 yards (tackle by Mario Addison). Jameis Winston fumbles (forced by Mario Addison), recovered by Jameis Winston at CAR-46",1.290,2.520
2,2:00,1,10,CAR 46,3,0,Jameis Winston pass complete short left to Mike Evans for 7 yards (tackle by Daryl Worley),2.520,2.920
2,1:34,2,3,CAR 39,3,0,Jameis Winston pass complete short left to Mike Evans for 17 yards (tackle by Daryl Worley),2.920,4.110
2,1:08,1,10,CAR 22,3,0,Jacquizz Rodgers middle for 5 yards (tackle by Michael Griffin),4.110,4.110
2,1:02,1,10,CAR 22,3,0,Timeout #2 by Tampa Bay Buccaneers,4.110,4.290
2,1:02,2,5,CAR 17,3,0,Jameis Winston pass incomplete deep right intended for Mike Evans,4.290,3.560
2,0:54,3,5,CAR 17,3,0,Jameis Winston pass incomplete deep middle intended for Mike Evans,3.560,2.360
2,0:48,4,5,CAR 17,6,0,Roberto Aguayo 35 yard field goal good,2.360,3.000
2,0:48,,,TAM 35,6,0,"Roberto Aguayo kicks off 70 yards, returned by Ted Ginn for 21 yards (tackle by Russell Shepard)",0.000,0.140
2,0:39,1,10,CAR 16,6,0,Derek Anderson pass complete deep middle to Greg Olsen for 24 yards (tackle by Kwon Alexander),-0.140,-0.140
2,0:35,1,10,CAR 16,6,0,Timeout #1 by Carolina Panthers,-0.140,1.600
2,0:35,1,10,CAR 40,6,0,Derek Anderson pass complete deep left to Kelvin Benjamin for 18 yards (tackle by Chris Conte),1.600,1.600
2,0:30,1,10,CAR 40,6,0,Timeout #2 by Carolina Panthers,1.600,2.790
2,0:30,1,10,TAM 42,6,0,Derek Anderson pass complete short right to Corey Brown for 7 yards (tackle by Jude Adjei-Barimah),2.790,3.190
2,0:15,2,3,TAM 35,6,0,"Penalty on Andrew Norwell: False Start, 5 yards (no play)",3.190,3.190
2,0:15,2,3,TAM 35,6,0,Timeout #3 by Carolina Panthers,3.190,2.510
2,0:15,2,8,TAM 40,6,0,Derek Anderson pass complete deep right to Greg Olsen for 20 yards,2.510,4.240
2,0:10,1,10,TAM 20,6,0,"Penalty on Mike Remmers: False Start, 5 yards (no play)",4.240,4.240
2,0:10,1,10,TAM 20,6,0,Timeout #3 by Tampa Bay Buccaneers,4.240,3.910
2,0:10,1,15,TAM 25,6,0,Derek Anderson pass incomplete deep middle intended for Greg Olsen (defended by Kwon Alexander),3.910,3.020
2,0:05,2,15,TAM 25,6,0,Graham Gano 43 yard field goal no good,3.020,-1.140
2,0:01,1,10,TAM 33,6,0,Jameis Winston kneels for -1 yards,1.140,0.460
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,6,0,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CAR 25,6,0,Derek Anderson pass complete short left to Ted Ginn for 5 yards (tackle by Vernon Hargreaves and William Gholston),0.610,0.740
3,14:24,2,5,CAR 30,6,0,Cameron Artis-Payne left end for 4 yards (tackle by Bradley McDougald),0.740,0.560
3,13:44,3,1,CAR 34,6,0,Derek Anderson pass complete short right to Greg Olsen for 34 yards (tackle by Lavonte David),0.560,3.450
3,13:00,1,10,TAM 32,6,0,Derek Anderson pass complete short left to Fozzy Whittaker for 9 yards (tackle by Bradley McDougald),3.450,4.120
3,12:22,2,1,TAM 23,6,0,Derek Anderson pass complete short right to Corey Brown for 6 yards (tackle by Jude Adjei-Barimah),4.120,4.440
