Quarter,Time,Down,ToGo,Location,NYJ,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,18,NYJ 41,10,7,Donovan McNabb pass complete to L.J. Smith for 10 yards (tackle by John Abraham),1.760,2.410
2,14:21,3,8,NYJ 31,10,7,Donovan McNabb pass complete to Brian Westbrook for 11 yards (tackle by Ray Green),2.410,4.240
2,13:42,1,10,NYJ 20,10,7,Donovan McNabb pass complete to Jon Ritchie for 2 yards (tackle by Aaron Beasley),4.240,3.960
2,13:01,2,8,NYJ 18,10,7,Donovan McNabb pass complete to James Thrash for 7 yards (tackle by Ray Mickens),3.960,4.590
2,12:23,3,1,NYJ 11,10,7,James Thrash left end for 4 yards (tackle by Marvin Jones),4.590,5.600
2,11:41,1,7,NYJ 7,10,13,"Correll Buckhalter right tackle for 7 yards, touchdown",5.600,7.000
2,,,,NYJ 2,10,14,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,10,14,"David Akers kicks off 67 yards, returned by Michael Bates for 25 yards (tackle by Justin Ena)",0.000,0.810
2,11:30,1,10,NYJ 28,10,14,Vinny Testaverde pass complete to Curtis Martin for 10 yards (tackle by Carlos Emmons),0.810,1.470
2,10:46,1,10,NYJ 38,10,14,Vinny Testaverde pass incomplete intended for Santana Moss (defended by Lito Sheppard),1.470,0.920
2,10:39,2,10,NYJ 38,10,14,Curtis Martin left end for 11 yards (tackle by Mark Simoneau),0.920,2.190
2,9:53,1,10,NYJ 49,10,14,Curtis Martin left guard for 5 yards (tackle by Darwin Walker),2.190,2.320
2,9:15,2,5,PHI 46,10,14,"LaMont Jordan right end for 4 yards (tackle by Hollis Thomas). Penalty on Dave Szott: Offensive Holding, 10 yards (no play)",2.320,0.970
2,8:48,2,15,NYJ 44,10,14,Curtis Martin up the middle for 6 yards (tackle by Mark Simoneau and Carlos Emmons),0.970,1.090
2,8:06,3,9,PHI 50,10,14,Vinny Testaverde pass complete to Curtis Martin for -3 yards (tackle by Nate Wayne),1.090,-0.260
2,7:28,4,12,NYJ 47,10,14,Dan Stryzinski punts no gain,-0.260,-2.920
2,7:19,1,10,NYJ 40,10,14,Donovan McNabb sacked by John Abraham for -6 yards,2.920,1.560
2,6:52,2,16,NYJ 46,10,14,Brian Westbrook right guard for 2 yards (tackle by Victor Hobson),1.560,1.160
2,6:14,3,14,NYJ 44,10,14,Donovan McNabb sacked by John Abraham and Jason Ferguson for -7 yards,1.160,-0.130
2,5:45,4,21,PHI 49,10,14,"Dirk Johnson punts 43 yards, fair catch by Santana Moss",-0.130,0.380
2,5:37,1,10,NYJ 8,10,14,Curtis Martin right end for 4 yards (tackle by Mark Simoneau),-0.380,-0.490
2,5:01,2,6,NYJ 12,10,14,Chad Pennington pass complete to Jerald Sowell for 13 yards (tackle by Mark Simoneau),-0.490,0.610
2,4:21,1,10,NYJ 25,10,14,Chad Pennington pass incomplete intended for Curtis Conway,0.610,0.060
2,4:16,2,10,NYJ 25,10,14,Curtis Martin left end for 3 yards (tackle by N.D. Kalu),0.060,-0.230
2,3:34,3,7,NYJ 28,10,14,Chad Pennington pass complete to Wayne Chrebet for 9 yards (tackle by Troy Vincent),-0.230,1.400
2,2:55,1,10,NYJ 37,10,14,Chad Pennington pass complete to LaMont Jordan for 12 yards (tackle by Clinton Hart),1.400,2.190
2,2:16,1,10,NYJ 49,10,14,LaMont Jordan right end for 2 yards (tackle by Michael Lewis),2.190,1.920
2,2:00,2,8,PHI 49,10,14,Chad Pennington pass complete to Santana Moss for 11 yards (tackle by Lito Sheppard),1.920,3.050
2,1:23,1,10,PHI 38,10,14,Chad Pennington pass incomplete intended for Curtis Conway (defended by Lito Sheppard),3.050,2.510
2,1:18,2,10,PHI 38,10,14,Curtis Martin right tackle for 18 yards (tackle by Carlos Emmons),2.510,4.240
2,1:10,,,,10,14,Timeout #1 by New York Jets,0.000,4.240
2,1:10,1,10,PHI 20,10,14,"Chad Pennington pass complete to Santana Moss for -2 yards (tackle by Carlos Emmons). Santana Moss fumbles (forced by Carlos Emmons), recovered by Ike Reese at PHI-22",4.240,-0.410
2,1:03,1,10,PHI 22,10,14,Donovan McNabb sacked by John Abraham for -7 yards,0.410,-1.210
2,0:29,2,17,PHI 15,10,14,Brian Westbrook left end for 6 yards (tackle by John Abraham and Jason Glenn),-1.210,-0.960
2,0:24,3,11,PHI 21,10,14,Donovan McNabb sacked by Shaun Ellis for -1 yards,-0.960,-2.030
2,0:15,,,,10,14,Timeout #3 by New York Jets,0.000,-2.030
2,0:15,4,12,PHI 20,10,14,Dirk Johnson punts 17 yards,-2.030,-3.120
2,0:07,1,10,PHI 37,10,14,Chad Pennington pass incomplete intended for Curtis Conway,3.120,2.570
2,0:03,2,10,PHI 37,10,14,Doug Brien 55 yard field goal no good,2.570,1.860
Quarter,Time,Down,ToGo,Location,NYJ,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,10,14,"Doug Brien kicks off 57 yards, returned by Brian Westbrook for 19 yards (tackle by Sam Garnes)",0.000,1.070
3,14:54,1,10,PHI 32,10,14,Correll Buckhalter left guard for 2 yards (tackle by Jason Ferguson and Marvin Jones),1.070,0.800
3,14:16,2,8,PHI 34,10,14,Donovan McNabb pass incomplete intended for L.J. Smith (defended by Sam Garnes),0.800,0.100
3,14:12,3,8,PHI 34,10,14,Donovan McNabb pass complete to Freddie Mitchell for 10 yards (tackle by Ray Mickens),0.100,1.860
3,13:36,1,10,PHI 44,10,14,Donovan McNabb pass complete to Todd Pinkston for 16 yards (tackle by Aaron Beasley),1.860,2.920
3,12:58,1,10,NYJ 40,10,14,Brian Westbrook right tackle for 6 yards (tackle by Jason Ferguson),2.920,3.180
3,12:15,2,4,NYJ 34,10,14,Correll Buckhalter for 3 yards (tackle by Marvin Jones),3.180,2.870
3,11:34,3,1,NYJ 31,10,14,"Correll Buckhalter left tackle for 7 yards (tackle by Sam Garnes). Correll Buckhalter fumbles (forced by Sam Garnes), recovered by Sam Cowart at NYJ-24 (tackle by Correll Buckhalter)",2.870,-0.540
3,11:27,1,10,NYJ 24,10,14,Chad Pennington pass complete to Anthony Becht for 16 yards (tackle by Clinton Hart),0.540,1.600
3,10:46,1,10,NYJ 40,10,14,Curtis Martin left end for 2 yards (tackle by Nate Wayne and Brandon Whiting),1.600,1.320
3,10:03,2,8,NYJ 42,10,14,Chad Pennington pass complete to Chris Baker for 10 yards (tackle by Ike Reese),1.320,2.390
3,9:22,1,10,PHI 48,10,14,Curtis Martin left end for -4 yards (tackle by Hollis Thomas),2.390,1.310
3,8:40,2,14,NYJ 48,10,14,Curtis Martin left tackle for 7 yards (tackle by Brandon Whiting),1.310,1.550
3,7:56,3,7,PHI 45,10,14,Chad Pennington pass incomplete intended for Curtis Conway,1.550,0.270
3,7:52,4,7,PHI 45,10,14,"Dan Stryzinski punts 34 yards, fair catch by James Thrash",0.270,0.370
3,7:45,1,10,PHI 11,10,14,Correll Buckhalter right tackle for 21 yards (tackle by Ray Mickens),-0.370,1.070
3,7:29,1,10,PHI 32,10,14,Donovan McNabb pass complete to James Thrash for 4 yards,1.070,1.070
3,7:05,2,6,PHI 36,10,14,Duce Staley right tackle for 4 yards (tackle by Dewayne Robertson),1.070,0.890
3,6:14,3,2,PHI 40,10,14,Donovan McNabb pass complete to Jon Ritchie for 4 yards (tackle by Sam Garnes),0.890,1.860
3,5:39,1,10,PHI 44,10,14,Correll Buckhalter right tackle for 8 yards (tackle by Tyrone Carter),1.860,2.400
3,4:54,2,2,NYJ 48,10,14,Duce Staley right guard for 6 yards (tackle by John Abraham),2.400,2.790
3,4:12,1,10,NYJ 42,10,14,Donovan McNabb pass incomplete intended for Todd Pinkston is intercepted by Aaron Beasley at NYJ-26 and returned for 25 yards (tackle by L.J. Smith),2.790,-2.320
,,,,,,,"PHI challenged the ruling, and the play was upheld.",,
3,4:01,1,10,PHI 49,10,14,Curtis Martin up the middle for 4 yards (tackle by Mark Simoneau),2.320,2.320
3,3:26,2,6,PHI 45,10,14,Chad Pennington pass complete to Anthony Becht for 15 yards (tackle by Michael Lewis),2.320,3.580
3,2:43,1,10,PHI 30,10,14,Chad Pennington pass complete to Curtis Martin for no gain,3.580,3.030
3,1:58,2,10,PHI 30,10,14,Chad Pennington pass complete to Chris Baker for 12 yards (tackle by Mark Simoneau),3.030,4.370
3,1:17,1,10,PHI 18,10,14,Chad Pennington sacked by N.D. Kalu for -7 yards,4.370,2.880
3,0:45,2,17,PHI 25,10,14,Curtis Martin left end for 21 yards (tackle by Clinton Hart),2.880,6.280
3,0:07,1,4,PHI 4,16,14,"LaMont Jordan up the middle for 4 yards, touchdown",6.280,7.000
3,,,,PHI 2,17,14,Doug Brien kicks extra point good,0.000,0.000
3,,,,NYJ 30,17,14,"Doug Brien kicks off 62 yards, returned by James Thrash for 21 yards (tackle by Derek Pagel). Penalty on David Young: Offside on Free Kick, 5 yards (no play)",0.000,0.000
Quarter,Time,Down,ToGo,Location,NYJ,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,NYJ 25,17,14,"Doug Brien kicks off 62 yards, returned by James Thrash for 34 yards (tackle by Jerald Sowell)",0.000,2.060
4,14:53,1,10,PHI 47,17,14,Donovan McNabb pass complete to James Thrash for 6 yards (tackle by Ray Green),2.060,2.330
4,14:20,2,4,NYJ 47,17,14,Correll Buckhalter left end for 9 yards (tackle by Sam Cowart),2.330,3.050
4,13:38,1,10,NYJ 38,17,14,Donovan McNabb pass incomplete intended for Mike Bartrum,3.050,2.510
4,13:31,2,10,NYJ 38,17,14,Correll Buckhalter left end for 1 yard (tackle by John Abraham and Marvin Jones),2.510,1.950
4,12:45,3,9,NYJ 37,17,14,"Donovan McNabb pass incomplete intended for Freddie Mitchell. Penalty on Bobbie Williams: Illegal Use of Hands, 10 yards (no play)",1.950,0.630
4,12:45,3,19,NYJ 47,17,14,"Donovan McNabb pass complete to Duce Staley for no gain. Penalty on Aaron Beasley: Illegal Contact, 5 yards (no play)",0.630,2.790
4,12:24,1,10,NYJ 42,17,14,Donovan McNabb pass incomplete intended for Todd Pinkston (defended by Marvin Jones),2.790,2.240
4,12:19,2,10,NYJ 42,17,14,Correll Buckhalter right tackle for 5 yards (tackle by Sam Cowart),2.240,2.210
4,11:40,3,5,NYJ 37,17,14,Donovan McNabb pass incomplete intended for James Thrash (defended by Ray Mickens),2.210,0.790
4,11:37,4,5,NYJ 37,17,14,David Akers 55 yard field goal no good,0.790,-1.990
4,11:33,1,10,NYJ 46,17,14,Santana Moss right end for 9 yards (tackle by Lito Sheppard),1.990,2.670
4,10:56,2,1,PHI 45,17,14,Chad Pennington pass incomplete intended for Santana Moss is intercepted by Michael Lewis at PHI-20 and returned for 23 yards (tackle by Jerald Sowell),2.670,-1.800
4,10:43,1,10,PHI 43,17,14,Donovan McNabb pass complete to James Thrash for 6 yards (tackle by Sam Cowart),1.800,2.060
4,10:09,2,4,PHI 49,17,14,Correll Buckhalter right end for 9 yards (tackle by Sam Garnes),2.060,2.790
4,9:32,1,10,NYJ 42,17,14,Donovan McNabb right end for 10 yards (tackle by Victor Hobson),2.790,3.450
4,8:57,1,10,NYJ 32,17,14,Duce Staley right guard for 2 yards (tackle by Jason Ferguson),3.450,3.170
4,8:18,2,8,NYJ 30,17,14,Donovan McNabb pass complete to L.J. Smith for 8 yards (tackle by Marvin Jones),3.170,4.110
4,7:36,1,10,NYJ 22,17,14,Duce Staley left end for 18 yards (tackle by Sam Cowart),4.110,6.280
4,6:48,1,4,NYJ 4,17,20,"Donovan McNabb pass complete to Jon Ritchie for 4 yards, touchdown",6.280,7.000
4,,,,NYJ 2,17,21,David Akers kicks extra point good,0.000,0.000
4,,,,PHI 30,17,21,"David Akers kicks off 68 yards, returned by Michael Bates for 35 yards (tackle by David Akers)",0.000,1.400
4,6:35,1,10,NYJ 37,17,21,Curtis Martin left end for no gain (tackle by Corey Simon),1.400,0.860
4,5:54,2,10,NYJ 37,17,21,Chad Pennington sacked by Darwin Walker and N.D. Kalu for -7 yards,0.860,-0.760
4,5:21,3,17,NYJ 30,17,21,Chad Pennington pass complete to Santana Moss for 16 yards (tackle by Lito Sheppard),-0.760,-0.320
4,4:34,,,,17,21,Timeout #1 by New York Jets,0.000,-0.320
4,4:34,4,1,NYJ 46,17,21,LaMont Jordan left tackle for no gain (tackle by Darwin Walker),-0.320,-2.520
4,4:28,1,10,NYJ 46,17,21,Correll Buckhalter left end for 14 yards (tackle by Tyrone Carter),2.520,3.450
4,3:52,1,10,NYJ 32,17,21,Duce Staley right end for -2 yards (tackle by Mo Lewis),3.450,2.630
4,3:43,,,,17,21,Timeout #2 by New York Jets,0.000,2.630
4,3:43,2,12,NYJ 34,17,21,Duce Staley up the middle for 6 yards (tackle by Jason Ferguson),2.630,2.740
4,3:34,,,,17,21,Timeout #3 by New York Jets,0.000,2.740
4,3:34,3,6,NYJ 28,17,21,Donovan McNabb pass complete to Todd Pinkston for 7 yards (tackle by Sam Cowart),2.740,4.170
4,2:52,1,10,NYJ 21,17,21,Duce Staley left guard for 5 yards (tackle by Chester McGlockton),4.170,4.370
4,2:10,2,5,NYJ 16,17,21,Duce Staley left tackle for 3 yards (tackle by Marvin Jones),4.370,4.240
4,2:00,3,2,NYJ 13,17,21,Correll Buckhalter right end for 1 yard (tackle by Victor Hobson),4.240,2.780
4,1:14,,,,17,21,Timeout #2 by Philadelphia Eagles,0.000,2.780
4,1:14,4,1,NYJ 12,17,24,David Akers 30 yard field goal good,2.780,3.000
4,,,,PHI 30,17,24,"David Akers kicks off 67 yards, returned by Michael Bates for 17 yards (tackle by Sheldon Brown). Penalty on Chris Baker: Offensive Holding, 10 yards",0.000,-0.380
4,1:06,1,10,NYJ 10,17,24,Curtis Martin up the middle for 6 yards (tackle by Ike Reese),-0.380,-0.230
4,0:47,2,4,NYJ 16,17,24,Chad Pennington pass complete to Jerald Sowell for 6 yards,-0.230,0.410
4,0:40,1,10,NYJ 22,17,24,Chad Pennington pass incomplete intended for Curtis Conway (defended by Darwin Walker),0.410,-0.130
4,0:37,2,10,NYJ 22,17,24,Chad Pennington pass complete to Curtis Conway for 25 yards (tackle by Michael Lewis),-0.130,2.060
4,0:22,1,10,NYJ 47,17,24,Chad Pennington spiked the ball,2.060,1.520
4,0:21,2,10,NYJ 47,17,24,Chad Pennington pass incomplete intended for Santana Moss (defended by Lito Sheppard),1.520,0.830
4,0:18,3,10,NYJ 47,17,24,Chad Pennington pass complete to Santana Moss for 11 yards (tackle by Sheldon Brown),0.830,2.790
4,0:04,1,10,PHI 42,17,24,Chad Pennington spiked the ball,2.790,2.240
4,0:03,,,,17,24,Timeout #3 by Philadelphia Eagles,0.000,2.240
4,0:03,2,10,PHI 42,17,24,Chad Pennington pass incomplete intended for Wayne Chrebet,2.240,1.550
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
