Quarter,Time,Tm,Detail,CAR,PIT
1.0,10:29,Panthers,Christian McCaffrey 20 yard pass from Cam Newton (Graham Gano kick),7,0
,10:18,Steelers,JuJu Smith-Schuster 75 yard pass from Ben Roethlisberger (Chris Boswell kick),7,7
,10:05,Steelers,Vince Williams 17 yard interception return (Chris Boswell kick),7,14
,4:35,Steelers,James Conner 2 yard rush (Chris Boswell kick),7,21
2.0,9:46,Steelers,Chris Boswell 50 yard field goal,7,24
,5:04,Panthers,Christian McCaffrey 25 yard pass from Cam Newton (Graham Gano kick),14,24
,3:08,Steelers,Antonio Brown 53 yard pass from Ben Roethlisberger (Chris Boswell kick),14,31
3.0,8:18,Steelers,Vance McDonald 12 yard pass from Ben Roethlisberger (Chris Boswell kick),14,38
,0:18,Steelers,Jesse James 8 yard pass from Ben Roethlisberger (Chris Boswell kick),14,45
4.0,14:55,Steelers,Jaylen Samuels 6 yard pass from Ben Roethlisberger (Chris Boswell kick),14,52
,5:35,Panthers,Christian McCaffrey 1 yard rush (Graham Gano kick),21,52
