Unnamed: 0,CAR,PIT
First Downs,18,25
Rush-Yds-TDs,22-95-1,30-138-1
Cmp-Att-Yd-TD-INT,23-29-193-2-1,23-27-325-5-0
Sacked-Yards,5-46,1-6
Net Pass Yards,147,319
Total Yards,242,457
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,5-42,1-24
Third Down Conv.,4-11,8-11
Fourth Down Conv.,1-1,0-0
Time of Possession,29:25,30:35
