Unnamed: 0,ARI,OAK
First Downs,9,21
Rush-Yds-TDs,20-50-0,37-137-1
Cmp-Att-Yd-TD-INT,13-32-203-0-2,19-35-279-1-2
Sacked-Yards,3-29,5-21
Net Pass Yards,174,258
Total Yards,224,395
Fumbles-Lost,2-0,5-3
Turnovers,2,5
Penalties-Yards,4-25,8-70
Third Down Conv.,1-11,13-20
Fourth Down Conv.,0-1,0-1
Time of Possession,22:59,37:01
