Quarter,Time,Tm,Detail,ARI,OAK
1.0,4:25,Raiders,ReShard Lee 1 yard rush (Sebastian Janikowski kick),0,7
,3:30,Raiders,Randy Moss 32 yard pass from Andrew Walter (Sebastian Janikowski kick),0,14
2.0,14:50,Raiders,Sebastian Janikowski 31 yard field goal,0,17
,6:00,Cardinals,Neil Rackers 29 yard field goal,3,17
3.0,6:50,Raiders,Sebastian Janikowski 35 yard field goal,3,20
,5:46,Raiders,"Safety,",3,22
,3:03,Cardinals,Neil Rackers 45 yard field goal,6,22
4.0,10:07,Cardinals,Neil Rackers 38 yard field goal,9,22
