Quarter,Time,Tm,Detail,KAN,JAX
2.0,12:59,Jaguars,Brandon McManus 32 yard field goal,0,3
,0:27,Chiefs,Skyy Moore 9 yard pass from Patrick Mahomes (Harrison Butker kick),7,3
,0:00,Jaguars,Brandon McManus 49 yard field goal,7,6
3.0,11:30,Chiefs,Travis Kelce 9 yard pass from Patrick Mahomes (Harrison Butker kick),14,6
4.0,13:43,Jaguars,Brandon McManus 22 yard field goal,14,9
,8:10,Chiefs,Harrison Butker 38 yard field goal,17,9
