Unnamed: 0,KAN,JAX
First Downs,19,18
Rush-Yds-TDs,22-101-0,18-74-0
Cmp-Att-Yd-TD-INT,29-41-305-2-1,23-42-215-0-0
Sacked-Yards,1-7,4-18
Net Pass Yards,298,197
Total Yards,399,271
Fumbles-Lost,4-2,3-1
Turnovers,3,1
Penalties-Yards,12-94,2-10
Third Down Conv.,4-13,3-12
Fourth Down Conv.,2-2,0-2
Time of Possession,31:49,28:11
