Quarter,Time,Tm,Detail,NOR,CLE
2.0,14:55,Browns,Deshaun Watson 12 yard rush (Cade York kick),0,7
,4:07,Browns,Cade York 30 yard field goal,0,10
,0:00,Saints,Wil Lutz 23 yard field goal,3,10
3.0,9:40,Saints,Taysom Hill 8 yard rush (Wil Lutz kick),10,10
,0:55,Saints,Alvin Kamara 4 yard rush (Wil Lutz kick),17,10
