Unnamed: 0,CLE,BUF
First Downs,6,22
Rush-Yds-TDs,18-29-0,42-215-3
Cmp-Att-Yd-TD-INT,9-21-67-1-2,13-30-110-1-1
Sacked-Yards,7-70,1-4
Net Pass Yards,-3,106
Total Yards,26,321
Fumbles-Lost,5-3,4-2
Turnovers,5,3
Penalties-Yards,7-40,7-37
Third Down Conv.,2-13,7-15
Fourth Down Conv.,0-0,1-2
Time of Possession,23:05,36:55
