Quarter,Time,Tm,Detail,CLE,BUF
1.0,9:11,Bills,Rian Lindell 23 yard field goal,0,3
,1:45,Browns,Dennis Northcutt 3 yard pass from Luke McCown (Phil Dawson kick),7,3
2.0,9:39,Bills,Lee Evans 7 yard pass from Drew Bledsoe (Rian Lindell kick),7,10
,2:57,Bills,Willis McGahee 13 yard rush (Rian Lindell kick),7,17
3.0,4:05,Bills,Rian Lindell 21 yard field goal,7,20
4.0,14:49,Bills,Willis McGahee 6 yard rush (Rian Lindell kick),7,27
,10:53,Bills,Rian Lindell 37 yard field goal,7,30
,2:01,Bills,Shaud Williams 4 yard rush (Rian Lindell kick),7,37
