Quarter,Time,Tm,Detail,ARI,BUF
1.0,9:32,Bills,Rian Lindell 25 yard field goal,0,3
,4:31,Bills,Willis McGahee 5 yard rush (Rian Lindell kick),0,10
2.0,8:25,Cardinals,Obafemi Ayanbadejo 4 yard rush (Neil Rackers kick),7,10
,8:12,Bills,Terrence McGee 87 yard kickoff return (Rian Lindell kick),7,17
4.0,14:55,Bills,Eric Moulds 8 yard pass from Drew Bledsoe (Rian Lindell kick),7,24
,12:05,Bills,Tim Euhus 12 yard pass from Drew Bledsoe (Rian Lindell kick),7,31
,6:57,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),7,38
,3:54,Cardinals,Bryant Johnson 28 yard pass from Josh McCown (Neil Rackers kick),14,38
