Unnamed: 0,ARI,BUF
First Downs,14,11
Rush-Yds-TDs,38-128-1,38-128-2
Cmp-Att-Yd-TD-INT,9-24-101-1-0,8-17-81-2-0
Sacked-Yards,3-16,0-0
Net Pass Yards,85,81
Total Yards,213,209
Fumbles-Lost,3-0,2-0
Turnovers,0,0
Penalties-Yards,14-101,7-55
Third Down Conv.,4-16,6-16
Fourth Down Conv.,1-2,1-1
Time of Possession,31:42,28:18
