Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
1,9:05,1,10,CLE 49,0,7,Terrelle Pryor pass complete short left to Gary Barnidge for 26 yards (tackle by Isa Abdul-Quddus),2.190,3.910
1,8:24,1,10,MIA 25,0,7,Isaiah Crowell right guard for 6 yards (tackle by Koa Misi),3.910,4.200
1,7:45,2,4,MIA 19,0,7,Terrelle Pryor pass incomplete short right intended for Rashard Higgins,4.200,3.490
1,7:36,3,4,MIA 19,0,7,Cody Kessler pass complete short left to Duke Johnson for -4 yards (tackle by Reshad Jones),3.490,1.930
1,7:03,4,8,MIA 23,0,7,Cody Parkey 41 yard field goal no good,1.930,-1.000
1,6:54,1,10,MIA 31,0,7,Ryan Tannehill pass complete short left to Jordan Cameron for 5 yards (tackle by Christian Kirksey),1.000,1.140
1,6:23,2,5,MIA 36,0,7,Jay Ajayi right end for 4 yards (tackle by Jamie Meder),1.140,0.960
1,6:04,3,1,MIA 40,0,7,Jay Ajayi right tackle for 1 yard (tackle by Demario Davis),0.960,1.660
1,5:08,1,10,MIA 41,0,7,Jay Ajayi middle for no gain (tackle by Danny Shelton),1.660,1.120
1,4:31,2,10,MIA 41,0,7,Jarvis Landry right guard for 3 yards (tackle by Danny Shelton),1.120,0.830
1,3:56,3,7,MIA 44,0,7,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry,0.830,-0.460
1,3:44,4,7,MIA 44,0,7,"Matt Darr punts 42 yards, fair catch by Tramon Williams",-0.460,0.280
1,3:35,1,10,CLE 14,0,7,Terrelle Pryor right end for -1 yards (tackle by Reshad Jones),-0.280,-0.850
1,2:57,2,11,CLE 13,0,7,Duke Johnson left guard for 14 yards (tackle by Byron Maxwell and Kiko Alonso),-0.850,0.740
1,2:16,1,10,CLE 27,0,7,Duke Johnson middle for 4 yards (tackle by Koa Misi and Jelani Jenkins),0.740,0.740
1,1:44,2,6,CLE 31,0,7,"Cody Kessler pass incomplete deep right intended for Terrelle Pryor. Penalty on Jelani Jenkins: Roughing the Passer, 15 yards (no play)",0.740,1.990
1,1:32,1,10,CLE 46,0,7,Andrew Hawkins left end for 1 yard (tackle by Reshad Jones),1.990,1.590
1,1:06,2,9,CLE 47,0,7,Duke Johnson left guard for -2 yards (tackle by Mario Williams),1.590,0.630
1,0:49,3,11,CLE 45,0,7,Cody Kessler pass complete short middle to Terrelle Pryor for 18 yards (tackle by Jelani Jenkins),0.630,3.120
1,0:07,1,10,MIA 37,0,7,Isaiah Crowell middle for 4 yards (tackle by Ndamukong Suh),3.120,3.110
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,MIA 33,0,7,Isaiah Crowell middle for -3 yards (tackle by Reshad Jones),3.110,2.010
2,14:28,3,9,MIA 36,0,7,Cody Kessler pass complete short middle to Gary Barnidge for 8 yards (tackle by Kiko Alonso),2.010,1.720
2,13:47,4,1,MIA 28,3,7,Cody Parkey 46 yard field goal good,1.720,3.000
2,13:47,,,CLE 35,3,7,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
2,13:32,1,10,MIA 25,3,7,Ryan Tannehill pass complete short left to Jarvis Landry for 4 yards (tackle by Derrick Kindred and Jordan Poyer),0.610,0.600
2,12:52,2,6,MIA 29,3,7,Kenyan Drake right end for 4 yards (tackle by Jordan Poyer),0.600,0.430
2,12:19,3,2,MIA 33,3,7,"Penalty on Branden Albert: False Start, 5 yards (no play)",0.430,-0.230
2,11:55,3,7,MIA 28,3,7,Ryan Tannehill pass complete short left to DeVante Parker for 2 yards (tackle by Briean Boddy-Calhoun),-0.230,-1.370
2,11:27,4,5,MIA 30,3,7,"Matt Darr punts 54 yards, fair catch by Tramon Williams",-1.370,0.140
2,11:06,1,10,CLE 16,3,7,Isaiah Crowell right tackle for 9 yards (tackle by Koa Misi),-0.140,0.690
2,10:27,2,1,CLE 25,3,7,Isaiah Crowell left end for 8 yards (tackle by Kiko Alonso),0.690,1.140
2,9:43,1,10,CLE 33,3,7,Cody Kessler pass complete short right to Andrew Hawkins for 5 yards (tackle by Xavien Howard),1.140,1.270
2,9:21,2,5,CLE 38,3,7,Isaiah Crowell middle for no gain (tackle by Julius Warmsley),1.270,0.560
2,8:27,3,5,CLE 38,3,7,Cody Kessler pass incomplete deep left intended for Terrelle Pryor,0.560,-0.850
2,8:17,4,5,CLE 38,3,7,"Britton Colquitt punts 48 yards, out of bounds",-0.850,0.280
2,8:10,1,10,MIA 14,3,7,Isaiah Pead right guard for 4 yards (tackle by Christian Kirksey),-0.280,-0.210
2,7:45,2,6,MIA 18,3,7,Isaiah Pead middle for 3 yards (tackle by Demario Davis and Christian Kirksey),-0.210,-0.560
2,7:01,3,3,MIA 21,9,7,"Ryan Tannehill pass incomplete short right intended for Kenny Stills is intercepted by Briean Boddy-Calhoun at MIA-27 and returned for 27 yards, touchdown",-0.560,-7.000
2,6:47,,,MIA 21,10,7,Cody Parkey kicks extra point good,0.000,0.000
2,6:47,,,CLE 35,10,7,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
2,6:47,1,10,MIA 25,10,7,Ryan Tannehill middle for 2 yards (tackle by Nate Orchard),0.610,0.330
2,6:15,2,8,MIA 27,10,7,Ryan Tannehill pass complete short right to Kenny Stills for 13 yards (tackle by Briean Boddy-Calhoun and Jordan Poyer),0.330,1.600
2,5:52,1,10,MIA 40,10,7,Kenyan Drake right end for 3 yards (tackle by Briean Boddy-Calhoun),1.600,1.460
2,5:22,2,7,MIA 43,10,7,Ryan Tannehill pass complete short left to Kenyan Drake for 7 yards (tackle by Jamar Taylor),1.460,2.260
2,4:37,1,10,,10,7,Ryan Tannehill pass complete deep middle to Kenny Stills for 18 yards (tackle by Briean Boddy-Calhoun),2.260,3.450
2,3:54,1,10,CLE 32,10,7,Damien Williams right end for 15 yards (tackle by Jordan Poyer),3.450,4.440
2,3:16,1,10,CLE 17,10,7,Ryan Tannehill pass incomplete deep left intended for Jarvis Landry,4.440,3.850
2,3:10,2,10,CLE 17,10,7,"Penalty on Dion Sims: False Start, 5 yards (no play)",3.850,3.220
2,3:10,2,15,CLE 22,10,7,Ryan Tannehill pass complete short middle to Damien Williams for -9 yards (tackle by Emmanuel Ogbah),3.220,3.220
2,2:28,2,15,CLE 22,10,7,Timeout #1 by Miami Dolphins,3.220,1.360
2,2:28,3,24,CLE 31,10,7,Ryan Tannehill pass complete short middle to Dion Sims for 12 yards (tackle by Christian Kirksey),1.360,2.180
2,2:00,4,12,CLE 19,10,10,Andrew Franks 37 yard field goal good,2.180,3.000
2,2:00,,,MIA 35,10,10,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
2,1:57,1,10,CLE 25,10,10,Duke Johnson right end for 17 yards (tackle by Kiko Alonso),0.610,1.730
2,1:32,1,10,CLE 42,10,10,Cody Kessler pass complete short right to Terrelle Pryor for 10 yards,1.730,2.390
2,1:21,1,10,MIA 48,10,10,Duke Johnson right tackle for 3 yards (tackle by Kiko Alonso),2.390,2.390
2,1:18,1,10,MIA 48,10,10,Timeout #1 by Cleveland Browns,2.390,2.250
2,1:17,2,7,MIA 45,10,10,Cody Kessler pass complete deep right to Terrelle Pryor for 25 yards (tackle by Xavien Howard),2.250,2.250
2,1:10,2,7,MIA 45,10,10,Timeout #2 by Cleveland Browns,2.250,4.240
2,1:10,1,10,MIA 20,10,10,"Penalty on Austin Pasztor: False Start, 5 yards (no play)",4.240,3.910
2,1:10,1,15,MIA 25,10,10,Cody Kessler pass incomplete deep middle intended for Terrelle Pryor,3.910,3.020
2,1:05,2,15,MIA 25,10,10,Cody Kessler pass incomplete deep right intended for Terrelle Pryor (defended by Byron Maxwell),3.020,2.340
2,1:00,3,15,MIA 25,10,10,"Cody Kessler middle for 5 yards (tackle by Jason Jones). Penalty on Austin Pasztor: Offensive Holding, 10 yards (no play)",2.340,1.020
2,0:54,3,25,MIA 35,10,10,Cody Kessler pass complete short middle to Duke Johnson for 5 yards (tackle by Bobby McCain),1.020,1.020
2,0:46,3,25,MIA 35,10,10,Timeout #2 by Miami Dolphins,1.020,1.410
2,0:46,4,20,MIA 30,13,10,Cody Parkey 48 yard field goal good,1.410,3.000
2,0:46,,,CLE 35,13,10,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
2,0:42,1,10,MIA 25,13,10,Ryan Tannehill pass complete short right to Kenyan Drake for 4 yards (tackle by Tramon Williams),0.610,0.610
2,0:35,1,10,MIA 25,13,10,Timeout #3 by Miami Dolphins,0.610,0.600
2,0:35,2,6,MIA 29,13,10,Ryan Tannehill pass complete deep middle to Kenny Stills for 16 yards (tackle by Demario Davis),0.600,1.930
2,0:21,1,10,MIA 45,13,10,Ryan Tannehill spiked the ball,1.930,1.380
2,0:21,2,10,MIA 45,13,10,Ryan Tannehill pass incomplete short left intended for Kenny Stills (defended by Emmanuel Ogbah),1.380,0.700
2,0:17,3,10,MIA 45,13,10,"Ryan Tannehill pass complete short middle to Jarvis Landry for 5 yards (tackle by Briean Boddy-Calhoun). Penalty on Christian Kirksey: Illegal Contact, 5 yards (no play)",0.700,2.260
2,0:10,1,10,,13,10,Ryan Tannehill pass incomplete deep left intended for DeVante Parker,2.260,1.710
2,0:05,2,10,,13,10,Ryan Tannehill pass complete short middle to Kenny Stills for 28 yards (tackle by Jordan Poyer),1.710,0.410
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,13,10,"Andrew Franks kicks off 52 yards, returned by Tracy Howard for 17 yards (tackle by Damien Williams)",0.000,-0.940
3,14:56,1,10,CLE 30,13,10,"Penalty on Austin Pasztor: False Start, 5 yards (no play)",0.940,0.610
3,14:54,1,15,CLE 25,13,10,Isaiah Crowell left tackle for 6 yards (tackle by Kiko Alonso),0.610,0.530
3,14:21,2,9,CLE 31,13,10,Cody Kessler pass complete short right to Terrelle Pryor for 8 yards (tackle by Byron Maxwell),0.530,0.890
3,13:35,3,1,CLE 39,13,10,Isaiah Crowell middle for 1 yard (tackle by Kiko Alonso),0.890,1.600
3,12:55,1,10,CLE 40,13,10,Terrelle Pryor sacked by Ndamukong Suh and Reshad Jones for -1 yards,1.600,0.920
3,12:16,2,11,CLE 39,13,10,Cody Kessler pass complete short right to Gary Barnidge for 23 yards (tackle by Reshad Jones),0.920,3.050
3,11:36,1,10,MIA 38,13,10,"Cody Kessler pass complete short middle to Ricardo Louis for 6 yards (tackle by Xavien Howard). Ricardo Louis fumbles (forced by Xavien Howard), recovered by Ricardo Louis at MIA-32",3.050,3.320
3,10:42,2,4,MIA 32,13,10,Duke Johnson right tackle for 15 yards (tackle by Isa Abdul-Quddus),3.320,4.440
3,10:16,1,10,MIA 17,13,10,Duke Johnson left guard for 2 yards (tackle by Jelani Jenkins),4.440,4.150
3,9:38,2,8,MIA 15,13,10,"Cody Kessler pass incomplete short right intended for Gary Barnidge. Penalty on Austin Pasztor: Offensive Holding, 10 yards (no play)",4.150,2.810
3,9:29,2,18,MIA 25,13,10,Isaiah Crowell middle for 1 yard (tackle by Reshad Jones),2.810,2.280
3,8:50,3,17,MIA 24,13,10,"Penalty on Cody Kessler: Delay of Game, 5 yards (no play)",2.280,1.620
3,8:17,3,22,MIA 29,13,10,Cody Kessler pass complete short middle to Duke Johnson for 5 yards (tackle by Xavien Howard),1.620,1.870
3,7:52,4,17,MIA 24,13,10,Cody Parkey 42 yard field goal no good,1.870,-1.070
3,7:27,1,10,MIA 32,13,10,Kenyan Drake middle for 3 yards (tackle by Christian Kirksey),1.070,0.930
3,6:58,2,7,MIA 35,13,10,"Ryan Tannehill pass incomplete deep left intended for Kenny Stills. Penalty on Jamar Taylor: Illegal Contact, 5 yards (no play)",0.930,1.600
3,6:51,1,10,MIA 40,13,10,Isaiah Pead left tackle for 2 yards (tackle by Jamie Meder),1.600,1.320
3,6:06,2,8,MIA 42,13,10,Ryan Tannehill pass complete deep left to Jarvis Landry for 16 yards (tackle by Derrick Kindred),1.320,2.790
3,5:29,1,10,CLE 42,13,16,"Ryan Tannehill pass complete deep left to Jarvis Landry for 42 yards, touchdown. Penalty on Jarvis Landry: Unsportsmanlike Conduct, 15 yards",2.790,7.000
3,5:29,,,CLE 42,13,17,Andrew Franks kicks extra point good,0.000,0.000
3,5:29,,,MIA 20,13,17,"Andrew Franks kicks off 70 yards, returned by George Atkinson for 21 yards (tackle by Isa Abdul-Quddus). Penalty on Dominique Alexander: Illegal Block Above the Waist, 10 yards",0.000,-0.340
3,5:12,1,10,CLE 21,13,17,"Terrelle Pryor for 4 yards (tackle by Byron Maxwell). Penalty on Ricardo Louis: Offensive Holding, 10 yards",0.340,-0.330
3,4:50,1,16,CLE 15,13,17,Isaiah Crowell right guard for no gain (tackle by Ndamukong Suh),-0.330,-1.140
3,4:06,2,16,CLE 15,13,17,Cody Kessler pass complete short left to Malcolm Johnson for 3 yards (tackle by Ndamukong Suh and Kiko Alonso),-1.140,-1.410
3,3:21,3,13,CLE 18,13,17,Cody Kessler sacked by Andre Branch for -3 yards,-1.410,-2.440
3,2:41,4,16,CLE 15,13,17,"Britton Colquitt punts 49 yards, out of bounds",-2.440,-1.330
3,2:33,1,10,MIA 36,13,17,Ryan Tannehill pass complete deep right to DeVante Parker for 23 yards (tackle by Jordan Poyer),1.330,2.850
3,1:40,1,10,CLE 41,13,17,Jay Ajayi left tackle for 8 yards (tackle by Derrick Kindred),2.850,3.390
3,1:13,2,2,CLE 33,13,17,Ryan Tannehill pass complete short left to Jarvis Landry for 14 yards (tackle by Emmanuel Ogbah),3.390,4.310
3,0:28,1,10,CLE 19,13,17,Ryan Tannehill pass complete short middle to Dion Sims for 6 yards (tackle by Jordan Poyer),4.310,4.720
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,CLE 13,13,17,Jay Ajayi right guard for 3 yards (tackle by Xavier Cooper),4.720,4.690
4,14:29,3,1,CLE 10,13,23,"Ryan Tannehill pass complete short right to Damien Williams for 10 yards, touchdown",4.690,7.000
4,14:29,,,CLE 10,13,24,Andrew Franks kicks extra point good,0.000,0.000
4,14:29,,,MIA 35,13,24,"Andrew Franks kicks off 61 yards, returned by Tracy Howard for 13 yards (tackle by Neville Hewitt)",0.000,0.060
4,14:12,1,10,CLE 17,13,24,Cody Kessler pass complete short right to Andrew Hawkins for 9 yards (tackle by Michael Thomas),-0.060,0.750
4,13:44,2,1,CLE 26,13,24,Cody Kessler pass incomplete short middle intended for Terrelle Pryor,0.750,-0.120
4,13:38,3,1,CLE 26,13,24,Cody Kessler pass complete short left to Duke Johnson for 7 yards (tackle by Xavien Howard),-0.120,-0.120
4,13:06,3,1,CLE 26,13,24,Timeout #1 by Miami Dolphins,-0.120,1.140
4,13:06,1,10,CLE 33,13,24,Terrelle Pryor pass incomplete short right intended for Andrew Hawkins,1.140,0.590
4,13:02,2,10,CLE 33,13,24,Cody Kessler pass complete short middle to Terrelle Pryor for 25 yards (tackle by Jason Jones),0.590,2.790
4,12:20,1,10,MIA 42,13,24,Cody Kessler pass complete deep right to Ricardo Louis for 28 yards (tackle by Reshad Jones),2.790,4.650
4,11:43,1,10,MIA 14,13,24,Isaiah Crowell left end for 3 yards (tackle by Chris Jones),4.650,4.520
4,10:59,2,7,MIA 11,13,24,Cody Kessler pass incomplete short right intended for Ricardo Louis (defended by Xavien Howard),4.520,3.620
4,10:56,3,7,MIA 11,13,24,"Cody Kessler sacked by Cameron Wake for -7 yards. Cody Kessler fumbles (forced by Cameron Wake), recovered by Jelani Jenkins at MIA-19 and returned for 41 yards (tackle by Joe Thomas). Penalty on Cameron Wake: Defensive Offside, 5 yards (no play)",3.620,4.730
4,10:45,3,2,MIA 6,13,24,"Terrelle Pryor right end for 2 yards (tackle by Neville Hewitt). Penalty on Ndamukong Suh: Defensive Offside, 3 yards (no play)",4.730,6.510
4,10:19,1,3,MIA 3,19,24,"Terrelle Pryor left end for 3 yards, touchdown",6.510,7.000
4,10:19,1,,MIA 3,21,24,"Two Point Attempt: Cody Kessler pass complete to Gary Barnidge, conversion succeeds",6.510,1.000
4,10:19,,,CLE 35,21,24,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
4,10:12,1,10,MIA 25,21,24,Kenyan Drake left end for 6 yards (tackle by Jordan Poyer),0.610,0.870
4,9:44,2,4,MIA 31,21,24,Ryan Tannehill pass complete short left to Jarvis Landry for 3 yards (tackle by Christian Kirksey),0.870,0.560
4,9:10,3,1,MIA 34,21,24,Kenyan Drake right guard for -1 yards (tackle by Corey Lemonier),0.560,-1.180
4,8:32,4,2,MIA 33,21,24,"Matt Darr punts 47 yards, fair catch by Jordan Poyer",-1.180,-0.280
4,8:22,1,10,CLE 20,21,24,Cody Kessler pass incomplete short right intended for Gary Barnidge,0.280,-0.270
4,8:19,2,10,CLE 20,21,24,Cody Kessler pass incomplete short left intended for Duke Johnson,-0.270,-0.960
4,8:15,3,10,CLE 20,21,24,Cody Kessler pass incomplete short right intended for Terrelle Pryor (defended by Byron Maxwell),-0.960,-2.030
4,8:11,4,10,CLE 20,21,24,"Britton Colquitt punts 46 yards, fair catch by Jarvis Landry",-2.030,-1.200
4,8:04,1,10,MIA 34,21,24,Isaiah Pead left tackle for 4 yards (tackle by Corey Lemonier),1.200,1.200
4,7:28,2,6,MIA 38,21,24,Ryan Tannehill pass complete short right to Jarvis Landry for 9 yards (tackle by Tracy Howard),1.200,2.060
4,6:50,1,10,MIA 47,21,24,Ryan Tannehill pass incomplete,2.060,1.520
4,6:39,2,10,MIA 47,21,24,Ryan Tannehill pass incomplete deep right intended for Jarvis Landry,1.520,0.830
4,6:33,3,10,MIA 47,21,24,"Ryan Tannehill pass incomplete. Penalty on Ryan Tannehill: Intentional Grounding, 14 yards",0.830,-1.180
4,6:28,4,24,MIA 33,21,24,"Matt Darr punts 55 yards, returned by Jordan Poyer for 17 yards (tackle by Michael Thomas). Penalty on Tank Carder: Offensive Holding, 6 yards",-1.180,0.380
4,6:17,1,10,CLE 6,21,24,Cody Kessler pass incomplete short left intended for Isaiah Crowell,-0.380,-0.780
4,6:12,2,10,CLE 6,21,24,Isaiah Crowell middle for 25 yards (tackle by Reshad Jones),-0.780,1.000
4,5:27,1,10,CLE 31,21,24,Terrelle Pryor pass complete short left to Ricardo Louis for 6 yards (tackle by Byron Maxwell and Donald Butler),1.000,1.270
4,4:58,2,4,CLE 37,21,24,Cody Kessler pass complete short middle to Terrelle Pryor for 40 yards (tackle by Reshad Jones),1.270,4.040
4,4:43,1,10,MIA 23,21,24,"Penalty on Alvin Bailey: False Start, 5 yards (no play)",4.040,3.710
4,4:43,1,15,MIA 28,21,24,Duke Johnson left guard for 4 yards (tackle by Chris Jones),3.710,3.360
4,4:03,2,11,MIA 24,21,24,Isaiah Crowell right tackle for 4 yards (tackle by Neville Hewitt and Cameron Wake),3.360,3.360
4,3:24,2,11,MIA 24,21,24,Timeout #1 by Cleveland Browns,3.360,3.200
4,3:24,3,7,MIA 20,21,24,Cody Kessler pass incomplete short right intended for Duke Johnson (defended by Reshad Jones),3.200,2.120
4,3:18,4,7,MIA 20,24,24,Cody Parkey 38 yard field goal good,2.120,3.000
4,3:18,,,CLE 35,24,24,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
4,3:14,1,10,MIA 25,24,24,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry (defended by Jordan Poyer),0.610,0.060
4,3:06,2,10,MIA 25,24,24,Ryan Tannehill pass complete short left to Kenny Stills for 1 yard (tackle by Christian Kirksey),0.060,-0.490
4,2:22,3,9,MIA 26,24,24,Ryan Tannehill pass incomplete short left intended for DeVante Parker,-0.490,-1.630
4,2:17,4,9,MIA 26,24,24,"Matt Darr punts 48 yards, fair catch by Jordan Poyer",-1.630,-0.670
4,2:09,1,10,CLE 26,24,24,Duke Johnson left tackle for 8 yards (tackle by Neville Hewitt),0.670,1.210
4,2:02,2,2,CLE 34,24,24,"Cody Kessler pass incomplete. Penalty on Michael Thomas: Illegal Contact, 5 yards, Penalty on Xavien Howard: Defensive Holding (Declined) (no play)",1.210,1.530
4,1:56,1,10,CLE 39,24,24,Terrelle Pryor pass complete short left to Gary Barnidge for 3 yards (tackle by Byron Maxwell),1.530,1.530
4,1:19,1,10,CLE 39,24,24,Timeout #2 by Cleveland Browns,1.530,1.390
4,1:19,2,7,CLE 42,24,24,Cody Kessler pass complete short middle to Gary Barnidge for 6 yards (tackle by Neville Hewitt),1.390,1.490
4,0:58,3,1,CLE 48,24,24,Cody Kessler pass incomplete short left intended for Terrelle Pryor (defended by Byron Maxwell),1.490,-0.190
4,0:52,4,1,CLE 48,24,24,Britton Colquitt punts 36 yards,-0.190,0.140
4,0:42,1,10,MIA 16,24,24,Ryan Tannehill pass complete short right to Dion Sims for 10 yards (tackle by Jordan Poyer),-0.140,-0.140
4,0:36,1,10,MIA 16,24,24,Timeout #2 by Miami Dolphins,-0.140,0.670
4,0:36,1,10,MIA 26,24,24,Ryan Tannehill pass complete short middle to Damien Williams for 9 yards (tackle by Jordan Poyer),0.670,0.670
4,0:26,1,10,MIA 26,24,24,Timeout #3 by Miami Dolphins,0.670,1.350
4,0:26,2,1,MIA 35,24,24,"Ryan Tannehill sacked by Corey Lemonier for -8 yards. Ryan Tannehill fumbles (forced by Corey Lemonier), recovered by Corey Lemonier at MIA-27 (tackle by Ja'Wuan James)",1.350,-3.780
4,0:20,1,10,MIA 27,24,24,Cody Kessler kneels for -1 yards,3.780,3.780
4,0:04,1,10,MIA 27,24,24,Timeout #3 by Cleveland Browns,3.780,3.100
4,0:04,2,11,MIA 28,24,24,Cody Parkey 46 yard field goal no good,3.100,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
,,,,,,,"Browns won the coin toss, Dolphins to receive the overtime kickoff.",,
OT,15:00,,,CLE 35,24,24,"Cody Parkey kicks off 70 yards, returned by Jakeem Grant for 27 yards (tackle by George Atkinson)",0.000,-0.410
OT,14:55,1,10,MIA 22,24,24,Ryan Tannehill pass complete short right to Dion Sims for 18 yards (tackle by Jordan Poyer),0.410,1.600
OT,14:27,1,10,MIA 40,24,24,Isaiah Pead right tackle for 4 yards (tackle by Emmanuel Ogbah),1.600,1.590
OT,13:46,2,6,MIA 44,24,24,Ryan Tannehill pass incomplete short right intended for Jarvis Landry,1.590,0.890
OT,13:40,3,6,MIA 44,24,24,Ryan Tannehill pass incomplete short middle intended for DeVante Parker,0.890,-0.460
OT,13:36,4,6,MIA 44,24,24,"Matt Darr punts 47 yards, out of bounds",-0.460,0.380
OT,13:28,1,10,CLE 9,24,24,Isaiah Crowell right guard for 9 yards (tackle by Neville Hewitt),-0.380,0.140
OT,12:47,2,1,CLE 18,24,24,Cody Kessler pass incomplete short right intended for Andrew Hawkins,0.140,-0.370
OT,12:38,3,1,CLE 18,24,24,Cody Kessler pass complete short middle to Terrelle Pryor for 9 yards (tackle by Byron Maxwell),-0.370,0.740
OT,12:15,1,10,CLE 27,24,24,Cody Kessler sacked by Ndamukong Suh for -7 yards,0.740,-0.750
OT,11:44,2,17,CLE 20,24,24,"Cody Kessler pass complete short right to Gary Barnidge for 5 yards (tackle by Kiko Alonso). Penalty on Austin Pasztor: Offensive Holding, 10 yards (no play)",-0.750,-2.020
OT,11:15,2,27,CLE 10,24,24,Cody Kessler pass complete short left to Duke Johnson for -1 yards (tackle by Neville Hewitt),-2.020,-3.530
OT,10:34,3,28,CLE 9,24,24,Duke Johnson left tackle for 4 yards (tackle by Neville Hewitt),-3.530,-2.490
OT,9:54,4,24,CLE 13,24,24,"Britton Colquitt punts 44 yards, returned by Jarvis Landry for 13 yards (tackle by Jordan Poyer)",-2.490,-2.650
OT,9:39,1,10,CLE 44,24,24,Jay Ajayi right end for 1 yard (tackle by Danny Shelton),2.650,2.250
OT,9:18,2,9,CLE 43,24,24,Ryan Tannehill pass complete deep left to Jarvis Landry for 32 yards (tackle by Jordan Poyer),2.250,4.840
OT,8:43,1,10,CLE 11,24,30,"Jay Ajayi left end for 11 yards, touchdown",4.840,7.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
