Unnamed: 0,CLE,MIA
First Downs,21,23
Rush-Yds-TDs,32-169-1,25-115-1
Cmp-Att-Yd-TD-INT,24-38-279-0-0,25-39-319-3-2
Sacked-Yards,4-18,1-8
Net Pass Yards,261,311
Total Yards,430,426
Fumbles-Lost,3-1,1-1
Turnovers,1,3
Penalties-Yards,13-91,8-67
Third Down Conv.,4-15,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,37:22,29:12
