Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Martin Gramatica kicks off 66 yards, returned by Brian Mitchell for 24 yards (tackle by Dwight Smith). Penalty on Dwight Smith: Offside on Free Kick (Declined)",0.000,0.810
1,15:00,1,10,NYG 28,0,0,Tiki Barber up the middle for 4 yards (tackle by John Lynch and Shelton Quarles),0.810,0.800
1,14:21,2,6,NYG 32,0,0,Kerry Collins pass incomplete intended for Marcellus Rivers,0.800,0.100
1,14:15,3,6,NYG 32,0,0,Kerry Collins pass complete to David Tyree for 8 yards (tackle by Tim Wansley),0.100,1.600
1,13:43,1,10,NYG 40,0,0,Tiki Barber right tackle for 8 yards (tackle by Dwight Smith and Ryan Nece),1.600,2.130
1,13:06,2,2,NYG 48,0,0,Tiki Barber up the middle for 1 yard (tackle by John Lynch and Shelton Quarles),2.130,1.550
1,12:23,3,1,NYG 49,0,0,Kerry Collins pass incomplete intended for Amani Toomer,1.550,-0.130
1,12:17,4,1,NYG 49,0,0,Jeff Feagles punts 33 yards,-0.130,-0.040
1,12:09,1,10,TAM 18,0,0,Brad Johnson pass incomplete intended for Michael Pittman (defended by Michael Strahan),0.040,-0.490
1,12:04,2,10,TAM 18,0,0,Brad Johnson pass complete to Joe Jurevicius for 11 yards (tackle by Frank Walker),-0.490,0.870
1,11:29,1,10,TAM 29,0,0,Thomas Jones right tackle for 3 yards (tackle by Cornelius Griffin),0.870,0.730
1,11:02,2,7,TAM 32,0,0,Brad Johnson pass complete to Michael Pittman for -1 yards (tackle by Brandon Short),0.730,-0.100
1,10:23,3,8,TAM 31,0,0,Brad Johnson pass complete to Rickey Dudley for 5 yards (tackle by Omar Stoutmire),-0.100,-0.980
1,9:37,4,3,TAM 36,0,0,Tom Tupa punts 30 yards,-0.980,-1.200
1,9:29,1,10,NYG 34,0,0,Kerry Collins pass complete to Ike Hilliard for 11 yards (tackle by Dwight Smith),1.200,1.930
1,8:59,1,10,NYG 45,0,0,Kerry Collins pass complete to Ike Hilliard for 9 yards (tackle by Dwight Smith),1.930,2.600
1,8:24,2,1,TAM 46,0,0,"Penalty on David Diehl: False Start, 5 yards (no play)",2.600,1.920
1,8:12,2,6,NYG 49,0,0,Tiki Barber left end for 2 yards (tackle by Shelton Quarles and Ronde Barber),1.920,1.490
1,7:49,3,4,TAM 49,0,0,Kerry Collins pass complete to Tiki Barber for 6 yards (tackle by Greg Spires),1.490,2.720
1,7:15,1,10,TAM 43,0,0,Tiki Barber left tackle for 3 yards (tackle by John Lynch),2.720,2.580
1,6:43,2,7,TAM 40,0,0,"Kerry Collins for no gain. Kerry Collins fumbles, recovered by Shelton Quarles at TAM-45 (tackle by Tiki Barber)",2.580,-1.930
1,6:33,1,10,TAM 45,0,0,Thomas Jones left end for 2 yards (tackle by Micheal Barrow and Will Allen),1.930,1.650
1,5:42,2,8,TAM 47,0,0,Brad Johnson pass complete to Aaron Stecker for 12 yards (tackle by Will Allen),1.650,2.850
1,4:53,1,10,NYG 41,0,0,Brad Johnson pass incomplete intended for Keenan McCardell,2.850,2.310
1,4:48,2,10,NYG 41,0,0,Michael Pittman left tackle for 1 yard (tackle by Cornelius Griffin and Micheal Barrow),2.310,1.750
1,4:09,3,9,NYG 40,0,0,Brad Johnson pass incomplete intended for Keenan McCardell (defended by Will Allen),1.750,0.590
1,4:02,4,9,NYG 40,0,0,Tom Tupa punts 38 yards,0.590,0.380
1,3:50,1,10,NYG 2,0,0,Tiki Barber right guard for 1 yard (tackle by Warren Sapp),-0.380,-0.710
1,3:10,2,9,NYG 3,0,0,Kerry Collins pass complete to Amani Toomer for 7 yards (tackle by Ronde Barber),-0.710,-0.480
1,2:27,3,2,NYG 10,0,0,"Penalty on Wayne Lucier: False Start, 5 yards (no play)",-0.480,-1.070
1,1:54,3,7,NYG 5,0,0,Kerry Collins pass incomplete intended for Amani Toomer,-1.070,-2.490
1,1:47,4,7,NYG 5,0,0,"Jeff Feagles punts 52 yards, returned by Reggie Barlow for 14 yards (tackle by Delvin Joyce)",-2.490,-2.720
1,1:32,1,10,NYG 43,0,0,"Brad Johnson pass incomplete intended for Rickey Dudley. Penalty on Frank Walker: Illegal Contact, 5 yards (no play)",2.720,3.050
1,1:26,1,10,NYG 38,0,0,Michael Pittman up the middle for no gain (tackle by Dhani Jones and Keith Hamilton),3.050,2.510
