Unnamed: 0,NYG,TAM
First Downs,12,21
Rush-Yds-TDs,17-79-0,38-93-1
Cmp-Att-Yd-TD-INT,18-34-160-0-2,22-32-269-1-1
Sacked-Yards,3-27,2-4
Net Pass Yards,133,265
Total Yards,212,358
Fumbles-Lost,5-2,5-2
Turnovers,4,3
Penalties-Yards,9-71,5-45
Third Down Conv.,4-13,4-14
Fourth Down Conv.,0-1,0-1
Time of Possession,22:29,37:31
