Quarter,Time,Tm,Detail,NYG,ARI
1.0,6:18,Cardinals,Neil Rackers 34 yard field goal,0,3
2.0,11:38,Giants,Derrick Ward 1 yard rush (John Carney kick),7,3
,7:51,Cardinals,Tim Hightower 4 yard rush (pass failed),7,9
,6:51,Giants,John Carney 33 yard field goal,10,9
,3:49,Cardinals,Neil Rackers 20 yard field goal,10,12
,1:08,Giants,Amani Toomer 12 yard pass from Eli Manning (John Carney kick),17,12
3.0,10:35,Giants,Madison Hedgecock 2 yard pass from Eli Manning (John Carney kick),24,12
,0:49,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),24,19
4.0,11:15,Giants,Kevin Boss 10 yard pass from Eli Manning (John Carney kick),31,19
,6:17,Giants,John Carney 27 yard field goal,34,19
,4:02,Cardinals,Anquan Boldin 5 yard pass from Kurt Warner (Neil Rackers kick),34,26
,1:55,Giants,John Carney 33 yard field goal,37,26
,0:31,Cardinals,Neil Rackers 44 yard field goal,37,29
